0: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [12, 9, 13, 6, 10, 21], [5, 8, 11, 15, 14, 23, 16, 18], [19, 22, 24, 28, 26, 20, 30, 27], [29, 25, 31, 50, 45, 37], [32, 34], [36, 40, 39], [38, 41, 43, 46, 44, 47, 56, 48], [51, 53, 54, 52, 55, 58], [59], [49, 57, 60]]
1: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [12, 9, 13, 6, 10, 21], [5, 8, 11, 15, 14, 23, 16, 18], [19, 22, 24, 28, 26, 20, 30, 27], [29, 25, 31, 50, 45, 37], [32, 34], [36, 40, 39], [38, 41, 43, 46, 44, 47, 56, 48], [51, 53, 54, 52, 55, 58], [59], [49, 57, 60]]
2: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [12, 9, 13, 6, 10, 21], [5, 8, 11, 15, 14, 23, 16, 18], [19, 22, 24, 28, 26, 20, 30, 27], [29, 25, 31, 50, 45, 37], [32, 34], [36, 40, 39], [38, 41, 43, 46, 44, 47, 56, 48], [51, 53, 54, 52, 55, 58], [59], [49, 57, 60]]
3: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [12, 9, 13, 6, 10, 21], [5, 8, 11, 15, 14, 23, 16, 18], [19, 22, 24, 28, 26, 20, 30, 27], [29, 25, 31, 50, 45, 37], [32, 34], [36, 40, 39], [38, 41, 43, 46, 44, 47, 56, 48], [51, 53, 54, 52, 55, 58], [59], [49, 57, 60]]
4: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [12, 9, 13, 6, 10, 21], [5, 8, 11, 15, 14, 23, 16, 18], [19, 22, 24, 28, 26, 20, 30, 27], [29, 25, 31, 50, 45, 37], [32, 34], [36, 40, 39], [38, 41, 43, 46, 44, 47, 56, 48], [51, 53, 54, 52, 55, 58], [59], [49, 57, 60]]
5: [[17, 42, 33], [35, 2, 7, 1, 3, 4], [24, 11, 5, 8, 26, 9, 13, 12, 14, 29, 21, 6], [19, 15, 28, 23, 16, 18, 10], [22, 20, 25, 27, 31, 51, 39, 32, 34], [30, 36, 44, 47, 37, 41, 46, 38, 43, 40], [52, 45, 54, 48, 49, 50, 53, 57, 55, 58, 59, 56, 60]]
6: [[17, 42, 33, 35, 2, 7, 1], [3, 4, 24, 11, 5, 10, 8, 12, 9], [6, 30, 14, 21, 15, 20, 16, 18, 13], [28, 25, 22, 19, 27, 23, 26], [54, 56, 52, 29, 31, 36, 32, 34, 38, 41, 37, 39], [40, 46, 44, 45, 51], [43, 53, 47, 48, 57, 49, 50, 55, 58, 59, 60]]
7: [[17, 42, 33], [35, 7, 2], [1, 3, 4, 24, 11], [5, 9, 8, 12, 13, 15, 31, 20, 29, 6, 10, 21], [14, 16, 19, 18], [28, 22], [23, 25, 26, 30], [27, 52, 32], [46, 38, 34], [41, 36, 43, 39, 37, 40, 45, 47, 44, 50], [49, 53, 54, 48, 55, 51, 58, 59, 56, 57, 60]]
8: [[17, 42, 33], [35, 7, 2], [1, 3, 4], [14, 9, 5, 11, 8, 20], [12, 13, 15, 23, 24, 16, 22, 28, 18, 10, 21, 6], [19, 26, 30, 25, 29, 27, 31, 37, 60, 53, 34, 32, 36, 38, 39, 40, 41, 43, 45, 44, 47, 58], [51, 48, 52, 46, 50, 54, 55, 59, 57, 49, 56]]
9: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 26, 9], [5, 10, 8, 22, 12, 13, 11, 14, 31, 19, 15, 28, 16, 18, 21, 6], [20, 23, 24, 25, 29, 30, 27, 37, 36, 54, 34, 32, 41, 38, 39, 40, 44, 43, 45, 47, 46, 58], [51, 53, 52, 48, 50, 55, 56, 57, 59, 49, 60]]
10: [[17, 42, 33], [35, 2, 7, 1, 3, 4, 24, 11, 5, 12], [8, 14, 15, 26, 18, 10], [9, 13, 25, 21, 6], [16, 20], [22, 19, 27, 23, 28, 29, 30, 37], [34, 38, 31, 36, 32, 45, 44, 47, 39], [40, 41, 43, 46, 50, 56, 48], [53, 51, 52, 55, 49, 54, 59, 58, 57, 60]]
11: [[17, 42, 33], [35, 2, 7, 1, 3, 4], [24, 11, 5, 12, 6, 10, 29, 8, 15, 16, 31, 9], [28, 18, 19, 20, 13, 14, 23, 22, 51, 21], [25, 26, 27, 54, 34, 37, 36], [30, 39, 44, 32, 43, 40, 38, 47, 41, 45], [46, 59, 48, 53, 52, 50, 55, 49, 58, 56, 57, 60]]
12: [[17, 42, 33], [35, 2, 7], [1, 3, 4, 24, 11, 5, 6, 8], [13, 9, 10, 12, 14, 23, 15, 27], [20, 18, 16], [21, 25, 19, 28, 26, 29, 30, 31, 22, 52, 34], [48, 54, 32, 36, 45, 37, 41, 38], [39, 47, 44], [43, 40, 58, 46, 59, 50, 55, 56, 51], [53, 57, 49, 60]]
13: [[17, 42, 33], [35, 2, 7], [1, 3, 4, 26], [9, 5, 8, 12, 6, 15, 11], [14, 20, 29, 10, 13, 16, 18, 21, 19, 27], [23, 24, 58, 22, 25, 31, 28, 30, 36, 34, 39, 40, 32, 38, 37, 46, 43], [52, 44, 47, 45, 49, 54, 50, 41, 48, 55, 51, 53, 57, 56, 59, 60]]
14: [[17, 42, 33], [35, 2, 7], [1, 3, 4, 14, 9, 5, 12, 8, 6, 27, 10, 11, 16, 13, 20, 30, 18, 19, 28, 15, 21, 22, 23, 26, 25, 24, 29, 34, 54, 38, 48], [31, 41, 44, 39, 32, 45, 36, 56, 43, 46], [40, 37], [47, 53, 50, 52, 51, 49, 55, 59, 57, 58, 60]]
15: [[17, 42, 33, 35, 2, 7, 1, 3, 4, 14, 9, 5], [10, 6, 8, 13, 28, 11, 12, 29, 15, 19, 20, 18, 27, 16, 23, 21, 22, 56, 24, 25, 30, 31, 40, 32, 26, 38, 34, 36, 44, 37, 47, 43, 46, 39, 41, 45], [59, 49, 53, 48, 52, 55, 50, 51, 54, 57, 60, 58]]
16: [[17, 42], [33, 35, 2, 7, 1, 3, 4, 12, 11], [5, 10, 8, 6, 9, 30, 13, 14, 29, 27, 23, 20, 18, 19, 16, 15, 22, 24, 56, 21, 25, 31, 26, 44, 28, 34, 32, 37, 36, 38, 43, 39, 41, 40, 45], [47, 46, 48, 49, 53, 50, 52, 51, 54, 55, 59, 57, 58, 60]]
17: [[17, 42], [33, 35, 2], [7, 1, 3, 4, 24], [11, 5, 12, 9, 6, 8, 10, 13, 14, 31, 15, 22, 21, 18, 19, 16, 20, 23, 25, 26, 27], [28, 30, 29, 34, 38, 46, 44, 32, 36, 37], [39, 43, 40, 47], [41, 48, 45, 54, 56, 51, 52, 49, 60, 50, 53, 59, 55, 57], [58]]
