0: [[10, 8, 2], [12, 11], [1, 3], [5, 7, 9], [14, 16, 6, 15], [13, 4], [19, 17, 20, 18]]
1: [[10, 8, 2], [12, 11], [1, 3], [5, 7, 9], [14, 16, 6, 15], [13, 4], [19, 17, 20, 18]]
2: [[10, 8, 2], [12, 11], [1, 3], [5, 7, 9], [14, 16, 6, 15], [13, 4], [19, 17, 20, 18]]
3: [[10, 8, 2], [12, 11], [1, 3], [5, 7, 9], [14, 16, 6, 15], [13, 4], [19, 17, 20, 18]]
4: [[10, 8, 2], [12, 11], [1, 3], [5, 7, 9], [14, 16, 6, 15], [13, 4], [19, 17, 20, 18]]
5: [[10, 8, 2], [12, 11], [1, 3], [5, 7, 9], [14, 16, 6, 15], [13, 4], [19, 17, 20, 18]]
6: [[10, 8, 2], [12, 11], [1, 3], [5, 7, 9], [14, 16, 6, 15], [13, 4], [19, 17, 20, 18]]
7: [[10, 8, 2], [12, 11], [1, 3], [5, 7], [14, 16, 6], [13, 9], [17, 18, 19, 20], [4, 15]]
8: [[10, 8, 2], [12, 11], [1, 3], [5, 9], [16, 7, 6], [13, 14, 4, 15], [19, 17, 20, 18]]
9: [[10, 8, 2], [12, 11], [1, 3, 5], [7, 9], [14, 16, 6], [13, 15, 4], [20, 19, 17, 18]]
10: [[10, 8, 2], [12, 11], [1, 3, 5, 7, 14, 16, 6, 4], [13, 9], [17, 18, 19, 20, 15]]
11: [[10, 8, 2], [12, 11], [9, 1, 5, 7], [3, 14, 16, 6, 15, 13], [4, 19, 17, 18, 20]]
12: [[10, 8, 2], [12, 11], [1, 3], [5, 7, 9], [14, 16, 6], [15, 13], [17], [18, 19], [20, 4]]
13: [[10, 8, 2], [12, 11], [1, 3], [5], [7, 14, 16, 6, 15], [13, 17, 18, 19, 9], [20, 4]]
14: [[10, 8, 2], [12, 11], [1, 9], [3, 5, 7], [14, 16, 6], [13, 20, 15, 4], [19, 17, 18]]
15: [[10, 8, 2], [12, 11], [1, 3, 9], [5, 7], [14, 6], [16, 13], [15, 4], [20], [19, 17, 18]]
16: [[10, 8, 2], [12, 11], [1, 9, 3], [7, 5], [14, 16, 6], [13, 15], [4, 19], [17, 18, 20]]
17: [[10, 8, 2], [12, 11], [1, 3, 5], [7, 14, 16, 13, 17, 6, 9], [18, 19, 20, 15, 4]]
18: [[10, 8], [2, 12, 11, 9], [1], [3, 5, 4], [7, 14, 16, 6], [13, 20, 19, 17, 18, 15]]
19: [[10, 8, 2], [12, 11, 1, 3], [5, 7, 9, 14], [16], [13], [6, 19, 17, 20, 15, 18, 4]]
20: [[10, 8, 2], [12, 11], [1, 3, 5, 7, 9], [14], [16, 13, 6], [19, 17], [20, 18, 15], [4]]
21: [[10, 8], [2, 12, 11], [1, 3], [5, 7, 9], [14, 16, 6], [13, 15], [20, 19, 4], [17, 18]]
22: [[10, 8, 2], [12, 11, 1], [3, 5, 7], [9, 14], [16, 6], [15, 13, 4, 19, 17, 20, 18]]
23: [[10, 8, 2], [12, 11, 1], [3, 5, 7], [14, 16, 6, 13], [9, 17, 4, 20, 19, 15, 18]]
24: [[10, 8, 2], [12, 11], [1, 3], [5, 7], [9, 14, 16], [13, 6], [19, 17, 20, 15], [18], [4]]
25: [[10, 8, 2], [12, 11], [1, 3, 9], [5, 7, 14], [17, 13, 6, 15], [19, 16, 20, 18, 4]]
26: [[10, 8], [2, 12, 11], [1, 3, 5], [7, 9], [14, 16, 6], [13, 15, 4], [19, 17, 18], [20]]
27: [[10, 8, 2], [12, 11], [1, 3, 5], [7, 9], [14, 16], [6], [15, 13], [17, 18, 19, 20, 4]]
28: [[10, 8], [2, 12, 11], [1, 3], [5, 7], [9, 14, 16, 6, 13, 17, 15], [4, 19], [18, 20]]
29: [[10, 8, 2], [12, 11], [1, 3, 5], [7, 9, 14, 16], [6, 15], [13, 4, 19, 17], [20, 18]]
30: [[10, 8, 2], [12, 11, 1], [3, 5], [7, 14], [16, 6, 4, 13, 9, 17], [18, 19, 20, 15]]
31: [[10, 8], [2, 12], [11, 1, 9], [3, 7, 5], [14, 16, 6, 15], [13, 4, 19], [17, 18, 20]]
32: [[10, 8, 2], [12, 11, 9, 1], [3, 5, 7, 14, 16, 15, 19, 6, 4, 20, 13, 17, 18]]
33: [[10, 8], [2, 12], [11, 1], [3], [5, 7, 9], [14, 16, 6], [15, 13, 4], [19, 17], [20, 18]]
34: [[10, 8, 2], [12, 11, 1], [3, 5], [9, 7, 14], [6, 16], [13, 15, 4], [19], [17, 18, 20]]
35: [[10, 8], [2, 12, 11], [1, 3, 5], [7, 9, 14], [16, 6], [15, 13, 4], [19, 17], [20, 18]]
36: [[10, 8], [2, 12, 11], [1, 3], [9, 5], [7, 14], [16, 6], [13, 19, 17], [15, 20], [18, 4]]
37: [[10, 8, 2], [12, 11], [1, 9], [3, 7, 5, 14], [16, 6], [13, 15], [4, 19, 17], [18, 20]]
38: [[10, 8], [2, 12, 11, 1], [3, 5, 9, 7, 14, 6, 16, 15, 13, 4, 19, 17, 20, 18]]
39: [[10, 8], [2, 12], [11, 1], [3, 5, 7], [9, 14, 16, 6], [15, 13], [4, 19, 17, 20, 18]]
40: [[10, 8], [2, 12], [11], [1, 3, 5], [7, 14, 16], [6, 13, 9, 17], [4, 20, 19, 15, 18]]
41: [[10, 8], [2, 12], [11, 1, 3, 9, 5, 7, 14, 6, 16, 13, 15, 4, 19, 17, 18, 20]]
