0: [[3, 16, 4, 5, 6], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
1: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
2: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
3: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
4: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
5: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
6: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
7: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
8: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
9: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
10: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
11: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
12: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
13: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
14: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
15: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
16: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
17: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
18: [[3, 16, 5, 6, 4], [1, 2, 14, 7, 11, 13, 10, 12], [9, 15, 8, 17, 18, 19, 20], [21, 23, 22, 24]]
