0: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15], [4, 14], [17, 18, 20, 19]]
1: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4, 14, 17], [18, 20, 19]]
2: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15], [4, 14, 17], [18, 20, 19]]
3: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4, 14, 17, 18, 20, 19]]
4: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15], [4, 14, 17], [18, 20, 19]]
5: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15], [4, 14, 17], [18, 20, 19]]
6: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15], [4, 14, 17], [18, 20, 19]]
7: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15], [4, 14, 17], [18, 20, 19]]
8: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4, 14, 17, 18, 20, 19]]
9: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15], [4, 14, 17, 18, 20, 19]]
10: [[11, 9, 13], [2, 1, 8, 6, 16, 3], [5, 7, 10], [12, 15, 4, 14, 17, 18, 20, 19]]
11: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4, 14], [17, 18], [20, 19]]
12: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4], [14, 17, 18, 20, 19]]
13: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10, 12], [15, 4, 14, 17, 18, 20, 19]]
14: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15], [4, 14, 17, 18, 20], [19]]
15: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7], [10, 12], [15, 4, 14, 17], [18, 20, 19]]
16: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4], [14, 17], [18, 20, 19]]
17: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4], [14, 17], [18, 20, 19]]
18: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4], [14, 17], [18, 20, 19]]
19: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4], [14, 17], [18, 20, 19]]
20: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4], [14, 17], [18, 20, 19]]
21: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7], [10, 12, 15, 4, 14, 17], [18, 20, 19]]
22: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4], [14, 17, 18], [20, 19]]
23: [[11, 9, 13], [2, 1, 8, 6, 16, 3, 5, 7, 10], [12, 15, 4, 14, 17, 18, 20, 19]]
24: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10], [12, 15, 4], [14, 17, 18], [20, 19]]
25: [[11, 9, 13], [2, 1, 8], [6, 16], [3, 5, 7], [10, 12, 15], [4, 14], [17, 18, 20, 19]]
26: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10, 12, 15], [4, 14, 17], [18, 20, 19]]
27: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10, 12, 15, 4, 14, 17], [18, 20, 19]]
28: [[11, 9, 13], [2, 1, 8], [6, 16], [3, 5, 7], [10, 12, 15], [4, 14, 17], [18, 20, 19]]
29: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7], [10, 12, 15, 4], [14, 17], [18, 20, 19]]
30: [[11, 9, 13], [2, 1, 8], [6, 16, 3], [5, 7, 10, 12, 15, 4, 14, 17, 18, 20, 19]]
31: [[11, 9, 13], [2, 1, 8], [6, 16, 3, 5], [7, 10], [12, 15, 4], [14, 17, 18], [20, 19]]
32: [[11, 9, 13], [2, 1], [8, 6, 16], [3, 5, 7], [10, 12, 15], [4, 14, 17, 18, 20, 19]]
33: [[11, 9, 13], [2, 1, 8, 6], [16, 3, 5], [7, 10, 12, 15], [4, 14, 17], [18, 20, 19]]
34: [[11, 9, 13], [2, 1, 8], [6, 16, 3, 5, 7, 10, 12, 15, 4, 14, 17, 18, 20, 19]]
35: [[11, 9, 13], [2, 1, 8], [6, 16, 3, 5, 7, 10, 12, 15, 4, 14, 17, 18, 20, 19]]
36: [[11, 9, 13], [2, 1, 8], [6, 16, 3, 5, 7, 10, 12, 15, 4, 14, 17, 18, 20, 19]]
37: [[11, 9, 13], [2, 1], [8, 6, 16], [3, 5, 7], [10, 12], [15, 4], [14, 17], [18, 20, 19]]
38: [[11, 9], [13, 2, 1], [8, 6, 16], [3, 5, 7], [10, 12], [15, 4, 14], [17, 18], [20, 19]]
39: [[11, 9, 13, 2], [1, 8, 6], [16, 3, 5], [7, 10, 12], [15, 4, 14, 17], [18, 20, 19]]
