0: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
1: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
2: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
3: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
4: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
5: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
6: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
7: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
8: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
9: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
10: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
11: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
12: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
13: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
14: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
15: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
16: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
17: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
18: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
19: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
20: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
21: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
22: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
23: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
24: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
25: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 14], [23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
26: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
27: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 23, 3, 22, 4, 12, 14], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
28: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
29: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
30: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
31: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
32: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
33: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
34: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
35: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
36: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
37: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
38: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
39: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
40: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
41: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
42: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18, 14, 23, 3, 22, 4, 12], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
43: [[17, 9, 11, 1, 24, 13, 29, 7, 8, 18, 23], [3, 22, 4, 12, 14], [5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
44: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 5, 6, 20, 25, 10, 12, 4], [21, 15, 2, 16, 27, 19, 26, 28]]
45: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [23, 3, 22, 4, 14, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
46: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [23, 3, 22, 4, 5, 6, 20, 25, 10, 12, 14], [21, 15, 2, 16, 27, 19, 26, 28]]
47: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
48: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
49: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
50: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
51: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
52: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
53: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
54: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
55: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
56: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
57: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
58: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
59: [[17, 9, 11, 1, 24], [13, 29, 7, 8, 18], [14, 23, 3, 22, 4, 12, 5, 6, 20, 25, 10], [21, 15, 2, 16, 27, 19, 26, 28]]
