0: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
1: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
2: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
3: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
4: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
5: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
6: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
7: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
8: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
9: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
10: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
11: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
12: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
13: [[9, 5, 10, 2], [1, 4, 3], [6, 11, 8], [13, 12, 7]]
14: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
15: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
16: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
17: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
18: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
19: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
20: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
21: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
22: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
23: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
24: [[9, 5, 2], [10, 1, 4, 3], [6, 11, 8], [13, 12, 7]]
25: [[9, 5, 2], [10, 1, 4], [6, 11, 8, 3], [13, 12, 7]]
26: [[9, 5, 2], [10, 1, 4], [6, 11, 8, 3], [13, 12, 7]]
27: [[9, 5, 2], [10, 1, 4], [6, 11, 8, 3], [13, 12, 7]]
