0: [[5, 3], [10, 1, 4], [6, 8, 11, 9], [7, 13, 12, 2]]
1: [[5, 3], [10, 1, 4], [6, 8, 11, 9], [2, 7, 13, 12]]
2: [[3, 5], [10, 1, 4], [8, 11, 6], [9, 2, 7, 13, 12]]
3: [[3, 5], [10, 1, 8, 4], [11, 9, 6], [2, 7, 13, 12]]
4: [[3, 5], [10, 1, 8, 4], [11, 9, 6], [2, 7, 13, 12]]
5: [[5, 3], [10, 1, 4], [6, 8], [11, 9], [2, 7, 13, 12]]
6: [[3, 5], [10, 1, 4], [6, 8, 11, 9], [2, 7, 13], [12]]
7: [[3, 5], [10, 1, 4], [6, 8, 11, 9, 2, 7, 13, 12]]
8: [[3, 5], [10, 1, 4], [8, 11, 6], [9, 2, 7, 13], [12]]
9: [[3, 5], [10, 1, 4, 6], [8, 11, 9, 2], [7, 13, 12]]
10: [[3, 5], [10, 1, 4, 6], [8, 11, 9, 2], [7, 13, 12]]
11: [[3, 5], [10, 1, 4, 6], [8, 11, 9, 2], [7, 13, 12]]
12: [[5, 10, 3], [1, 4], [6, 8, 11], [9, 2, 7, 13, 12]]
13: [[5, 3], [10, 1], [4, 6, 8, 11, 9], [2, 7, 13, 12]]
14: [[3, 5, 10, 1, 4, 6], [8, 11, 9], [2, 7, 13, 12]]
15: [[3, 5], [10, 1], [4, 6, 8], [11, 9], [2, 7, 13, 12]]
16: [[3, 5, 10], [1, 4, 6, 8], [11, 9, 2], [13, 12, 7]]
17: [[3, 5], [10, 1, 4], [8, 11, 6], [9, 2, 7], [13, 12]]
18: [[5], [10], [4, 6, 3, 1], [8, 11, 9, 2], [7, 13, 12]]
19: [[5], [10], [4, 6, 3, 1], [8, 11, 9, 2], [7, 13, 12]]
20: [[5], [10], [4, 6, 3, 1], [8, 11, 9, 2], [7, 13, 12]]
21: [[3, 5, 10], [1, 4, 6, 8], [11, 9, 2, 7, 13, 12]]
22: [[3, 5, 10], [1, 4, 6, 8], [11, 9, 2, 7, 13, 12]]
23: [[5], [10], [4, 6, 3, 1], [8, 11, 9], [2, 7, 13, 12]]
24: [[3, 5], [10, 1, 4, 6], [8, 11, 9, 7, 2], [13, 12]]
25: [[3, 5], [10, 1, 4, 6, 8, 11, 9, 2, 7, 13], [12]]
26: [[3, 5], [10, 1, 8, 4], [11, 9, 6], [2, 7], [13, 12]]
27: [[3, 5], [10, 1], [4, 6, 8, 11], [9, 2, 7], [13, 12]]
