0: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
1: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
2: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
3: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
4: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
5: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
6: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
7: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
8: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
9: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
10: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
11: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
12: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
13: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
14: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
15: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
16: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
17: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
18: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
19: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
20: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
21: [[6, 11, 8], [5, 3, 1, 4], [9, 12, 7], [10, 13, 2]]
22: [[6, 11, 8, 5], [3, 1, 4], [9, 12, 7], [10, 13, 2]]
23: [[6, 11, 8, 5], [3, 1, 4], [9, 12, 7], [10, 13, 2]]
24: [[6, 11, 8, 5], [3, 1, 4], [9, 12, 7], [10, 13, 2]]
25: [[6, 11, 8, 5], [3, 1, 4], [9, 12, 7], [10, 13, 2]]
26: [[6, 11, 8, 5], [3, 1, 4], [9, 12, 7], [10, 13, 2]]
27: [[6, 11, 8, 5], [3, 1, 4], [9, 12, 7], [10, 13, 2]]
