0: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53, 52, 8, 18], [10, 44, 69], [77], [60, 11, 41], [20, 79], [24, 2, 28, 9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15], [32, 45, 50], [80, 51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61], [57, 55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78], [85, 86, 82], [84, 83, 81, 88]]
1: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
2: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
3: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
4: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68, 63, 54, 76], [65, 75, 72, 62, 78, 85, 86, 82, 84, 83, 81, 88]]
5: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
6: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
7: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
8: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
9: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
10: [[71, 70], [73, 26], [22, 12, 1], [74, 40, 17], [7, 37, 4], [5, 35, 87], [19, 38, 42], [3, 31, 53], [52, 8, 18], [10, 44, 69], [77, 60, 11], [41, 20, 79], [24, 2, 28], [9, 23, 6], [29, 13, 43], [16, 39, 34], [36, 46, 66], [56, 27, 47], [14, 15, 32], [45, 50, 80], [51, 49, 58], [59, 21, 25], [67, 30, 33], [48, 61, 57], [55, 64, 68], [63, 54, 76], [65, 75, 72], [62, 78, 85], [86, 82, 84], [83, 81, 88]]
