0: [[17, 11, 7], [19, 2, 22, 6, 3, 20, 4, 13, 1, 5, 16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
1: [[17, 11, 7], [19, 2], [22, 6, 3, 20, 4, 13, 1, 5, 16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
2: [[17, 11, 7], [19, 2, 22], [6, 3, 20, 4, 13, 1, 5, 16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
3: [[17, 11, 7], [19, 2, 22], [6, 3, 20, 4, 13, 1, 5, 16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
4: [[17, 11, 7], [19, 2, 22, 6], [3, 20, 4, 13, 1, 5, 16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
5: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4, 13, 1, 5], [16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
6: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1, 5], [16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
7: [[17, 11, 7], [19, 2, 22, 6, 3, 20, 4], [13, 1, 5], [16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
8: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1], [5, 16], [8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
9: [[17, 11, 7], [19, 2, 22], [6, 3], [20, 4], [13, 1, 5, 16], [8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
10: [[17, 11, 7], [19, 2], [22, 6, 3, 20, 4], [13, 1, 5, 16, 8, 12], [14, 9], [10, 15, 18], [21, 23, 24]]
11: [[17, 11], [7, 19, 2, 22], [6, 3, 20], [4, 13, 1], [5, 16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
12: [[17, 11, 7], [19, 2], [22, 6], [3, 20], [4, 13, 1], [5, 16, 8], [12, 14, 9, 10], [15, 18], [21, 23, 24]]
13: [[17, 11, 7, 19, 2], [22, 6], [3, 20, 4], [13, 1, 5], [16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
14: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4, 13], [1, 5, 16], [8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
15: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1], [5, 16, 8, 12, 14], [9, 10, 15, 18], [21, 23, 24]]
16: [[17, 11, 7], [19, 2, 22], [6, 3, 20], [4, 13, 1], [5, 16, 8], [12, 14, 9], [10, 15, 18], [21, 23, 24]]
17: [[17, 11], [7, 19, 2], [22, 6, 3], [20, 4], [13, 1, 5], [16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
18: [[17, 11], [7, 19, 2], [22, 6, 3], [20, 4], [13, 1, 5], [16, 8, 12], [14, 9, 10], [15, 18], [21, 23, 24]]
19: [[17, 11, 7], [19, 2], [22, 6, 3], [20, 4, 13], [1, 5, 16], [8, 12, 14], [9, 10], [15, 18], [21, 23, 24]]
20: [[17, 11, 7, 19, 2, 22], [6, 3], [20, 4, 13], [1, 5, 16], [8, 12, 14], [9, 10], [15, 18], [21, 23, 24]]
