0: [[35, 2, 20, 7, 1, 3, 4], [25, 24, 8, 9, 27, 15, 14, 5, 18, 10, 6], [19, 12, 22, 23, 28, 11, 26], [56, 16, 29, 31, 13, 30, 45, 17, 37, 38, 52, 21], [36, 32, 39, 42, 33, 40, 46, 47, 51, 41, 34, 43, 50], [44, 53, 49, 48, 55, 54, 59, 57, 58, 60]]
1: [[35, 2, 20, 7, 1, 3, 4], [25, 24, 8, 9, 27, 15, 14, 5, 18, 10, 6], [19, 12, 22, 23, 28, 11, 26], [56, 16, 29, 31, 13, 30, 45, 17, 37, 38, 52, 21], [36, 32, 39, 42, 33, 40, 46, 47, 51, 41, 34, 43, 50], [44, 53, 49, 48, 55, 54, 59, 57, 58, 60]]
2: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 12, 10, 31, 15, 6, 17, 16, 19, 21, 23, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
3: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 12, 6, 31, 15, 10, 16, 17, 19, 21, 23, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
4: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 12, 6, 31, 15, 10, 16, 21, 17, 23, 19, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
5: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 12, 6, 10, 21, 15, 18, 16, 19, 17, 30, 23, 31], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
6: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 10, 12, 23, 6, 15, 16, 17, 21, 19, 31, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
7: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 10, 12, 31, 6, 23, 15, 16, 17, 21, 19, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
8: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 10, 6, 12, 23, 15, 16, 18, 21, 19, 30, 17, 31], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
9: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 12, 10, 31, 15, 17, 6, 19, 23, 16, 21, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
10: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 6, 12, 15, 23, 10, 30, 17, 16, 18, 19, 21, 31], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
11: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 10, 12, 31, 6, 17, 19, 15, 23, 21, 16, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
12: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 12, 6, 30, 10, 15, 17, 23, 16, 19, 21, 31], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
13: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 12, 6, 10, 15, 19, 16, 17, 18, 23, 21, 31, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
14: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 10, 6, 31, 15, 12, 17, 16, 19, 23, 21, 30], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
15: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 6, 10, 30, 15, 12, 17, 16, 19, 21, 23, 31], [22, 29, 26, 25, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
16: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 10, 12, 6, 15, 21, 16, 17, 30, 18, 19, 23, 31], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
17: [[35, 2, 20, 7, 1, 3, 4, 27], [8, 13, 5, 24, 28, 14, 11, 9, 18, 6, 10, 12, 15, 16, 19, 17, 30, 21, 23, 31], [22, 25, 26, 29, 33, 36, 32, 48, 38, 34, 45, 39, 37, 44, 40, 42, 43], [47, 51, 41, 46, 52, 49, 54, 56, 50, 55, 53, 58, 59, 57, 60]]
