0: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
1: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
2: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
3: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
4: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
5: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
6: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
7: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
8: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
9: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
10: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
11: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
12: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
13: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
14: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
15: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
16: [[10, 6, 1, 2, 9, 14, 4, 3, 12, 13], [16, 11, 7], [5, 8, 22, 15, 19, 18, 17, 20], [23, 21, 24]]
