0: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 11, 8, 10, 12, 14], [6, 20, 5, 23, 17, 22, 25], [29, 18, 15, 21, 26, 27, 24, 28]]
1: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 15, 11, 14], [6, 18, 17, 22, 20, 10, 12], [21, 23, 24, 27, 26, 28, 25, 29]]
2: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 6, 15, 10], [11, 18, 22, 17, 20, 12, 14], [21, 23, 24, 25, 27, 26, 29, 28]]
3: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 6, 15, 10], [11, 18, 22, 17, 20, 12, 14], [21, 23, 24, 25, 27, 26, 29, 28]]
4: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 6, 10, 14], [11, 15, 17, 20, 22, 18, 12], [21, 26, 28, 23, 25, 27, 24, 29]]
5: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 14, 10, 6], [11, 15, 12, 18, 17, 22, 20], [21, 23, 25, 26, 24, 28, 27, 29]]
6: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 15, 10], [6, 14, 11, 22, 12, 17, 18, 20], [21, 23, 26, 25, 24, 27, 29, 28]]
7: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 11, 15, 10, 14], [12, 23, 17, 20, 22, 6], [18, 21, 24, 28, 27, 26, 25, 29]]
8: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 6, 15, 10, 11], [18, 22, 17, 20, 14, 12], [21, 23, 24, 25, 26, 27, 29, 28]]
9: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 6, 15, 10, 14], [22, 11, 17, 29, 18, 12], [23, 20, 26, 25, 21, 24, 27, 28]]
10: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 10, 11], [15, 12, 6, 14, 23, 17, 26, 22], [21, 18, 20, 27, 29, 25, 24, 28]]
11: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 6, 15], [11, 10, 18, 22, 17, 14, 20, 12], [21, 23, 24, 25, 27, 26, 28, 29]]
12: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 10, 6, 8, 14, 11], [12, 15, 24, 29, 22, 18], [17, 21, 23, 20, 25, 28, 27, 26]]
13: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 6, 11, 10], [12, 14, 15, 29, 18, 23, 22], [26, 20, 21, 17, 25, 24, 27, 28]]
14: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 6, 11, 10], [12, 14, 15, 29, 18, 23, 22], [26, 20, 21, 17, 25, 24, 27, 28]]
15: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 14, 15], [10, 11, 26, 22, 17, 20, 6, 12], [21, 23, 24, 25, 18, 27, 29, 28]]
16: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 6, 14], [11, 15, 22, 29, 17, 18, 10, 12], [21, 20, 28, 25, 27, 26, 23, 24]]
17: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 6, 11, 12, 14], [25, 17, 18, 21, 15, 10], [22, 20, 23, 24, 26, 27, 29, 28]]
18: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 6, 14, 10], [11, 15, 22, 21, 20, 17, 12], [18, 23, 24, 25, 27, 26, 29, 28]]
19: [[19, 1, 2, 7, 9, 16], [3, 4, 13, 5, 8, 14, 11, 6], [10, 12, 15, 21, 17, 22, 18], [20, 23, 26, 27, 25, 28, 29, 24]]
20: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 6, 14, 10], [11, 22, 29, 17, 12, 15, 18], [21, 20, 28, 25, 27, 26, 23, 24]]
21: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 10, 6, 11, 12], [14, 22, 15, 20, 17, 18], [21, 23, 24, 25, 26, 27, 29, 28]]
22: [[19, 1, 2, 7, 9, 16, 3], [4, 13, 5, 8, 6, 11, 10, 12], [14, 15, 18, 25, 22, 17], [20, 21, 27, 28, 23, 24, 26, 29]]
23: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 14, 15, 6], [10, 11, 12, 20, 17, 22, 18], [21, 23, 25, 26, 24, 27, 29, 28]]
24: [[19, 1, 2, 7, 9, 16, 3, 4], [13, 5, 8, 11, 6, 10, 14], [12, 18, 15, 17, 22, 20], [21, 23, 27, 29, 25, 26, 24, 28]]
