0: [[22], [13, 9, 1, 11, 6], [10, 2, 19], [4, 5], [7, 8, 15], [12, 20], [16, 18, 3], [14, 17], [23, 24, 21]]
1: [[3, 22, 6, 15], [13, 9, 1], [11, 10, 2], [19, 4, 5], [7, 8, 12, 20, 16, 18, 14, 17], [23, 24, 21]]
2: [[22], [13, 9, 1], [11, 10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 17, 3], [23, 24, 21]]
3: [[22], [13, 9, 1, 11], [10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 17, 3], [23, 24, 21]]
4: [[22, 6], [13, 9, 1], [11, 10, 2], [19, 4, 5], [7, 8, 12, 15], [20, 16, 18, 3], [14, 17], [23, 24, 21]]
5: [[22], [13], [9, 1, 11], [10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 17, 3], [23, 24, 21]]
6: [[22], [13, 9, 1], [11, 10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 16, 3], [18, 14, 17, 15], [23, 24, 21]]
7: [[22, 6], [13, 9, 1], [11, 10, 2], [19, 4, 5], [7, 8, 12, 15], [20, 16, 18, 14, 17, 3], [23, 24, 21]]
8: [[22], [13, 9, 1], [11, 10, 2, 19], [4, 5, 7, 8, 6, 15], [12, 20, 16, 3], [18, 14, 17], [23, 24, 21]]
9: [[22], [13], [9, 1, 11], [10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 16, 3], [18, 14, 17, 15], [23, 24, 21]]
10: [[22], [13, 9, 1, 6], [11, 10], [2, 19, 4], [5, 7, 8], [12, 20, 16, 3], [18, 14, 17, 15], [23, 24, 21]]
11: [[3, 22, 6, 15], [13, 9, 1], [11, 10, 2, 19], [4, 5, 7, 8, 12, 20, 16], [18, 14, 17], [23, 24, 21]]
12: [[22], [13], [9, 1, 11], [10, 2, 19], [4, 5, 7, 8, 6, 15], [12, 20, 16, 3], [18, 14, 17], [23, 24, 21]]
13: [[22, 13, 9], [1, 11, 10], [2, 19, 4], [5, 7, 8, 6, 15], [12, 20, 16, 18, 14, 17, 3], [23, 24, 21]]
14: [[22], [13, 9], [1, 11, 10], [2, 19, 4], [5, 7, 8, 12, 6, 15], [20, 16, 18, 3], [14, 17], [23, 24, 21]]
15: [[22], [13, 9], [1, 11, 10], [2, 19, 4], [5, 7, 8, 12, 6, 15], [20, 16, 18, 3], [14, 17], [23, 24, 21]]
16: [[22, 13], [9, 1, 11, 10, 6], [2, 19], [4, 5], [7, 8, 12, 15], [20, 16, 3], [18, 14, 17], [23, 24, 21]]
17: [[22], [13, 9], [1, 11, 10], [2, 19, 4], [5, 7, 8, 6, 15], [12, 20, 16, 3], [18, 14, 17], [23, 24, 21]]
18: [[22], [13, 9], [1, 11, 10], [2, 19, 4], [5, 7, 8, 6, 15], [12, 20, 16, 3], [18, 14, 17], [23, 24, 21]]
19: [[22], [13, 9], [1, 11, 10], [2, 19, 4], [5, 7, 8, 6, 15], [12, 20, 16, 3], [18, 14, 17], [23, 24, 21]]
20: [[22], [13, 9], [1, 11, 10], [2, 19], [4, 5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 17, 3], [23, 24, 21]]
21: [[22], [13, 9], [1, 11, 10], [2, 19], [4, 5, 7, 6], [8, 12, 20, 16, 3], [18, 14, 17, 15], [23, 24, 21]]
22: [[22], [13, 9, 1], [11, 10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 3], [17, 23, 24, 21]]
23: [[22, 6], [13, 9, 1], [11, 10, 2], [19, 4, 5], [7, 8, 12, 20, 15], [16, 18, 14, 3], [17, 23, 24, 21]]
24: [[22, 13], [9, 1, 11], [10, 2, 19], [4, 5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 3], [17, 23, 24, 21]]
25: [[22, 15, 3, 6], [13, 9, 1], [11, 10, 2, 19, 4, 5, 7, 8, 12, 20, 16, 18, 14], [17, 23, 24, 21]]
26: [[22, 3, 6], [13, 9, 1], [11, 10, 2], [19, 4, 5], [7, 8, 12, 20, 15], [16, 18, 14, 17, 23, 24, 21]]
27: [[22], [13, 9, 1], [11, 10], [2, 19], [4, 5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 3], [17, 23, 24, 21]]
28: [[22], [13, 9], [1, 11], [10, 2, 19, 4], [5, 7, 6], [8, 12, 20, 15], [16, 18, 14, 3], [17, 23, 24, 21]]
