0: [[1, 3], [14, 6, 4], [2, 7, 10, 5, 8], [9, 11, 13, 12], [15, 16], [18, 17, 19, 20]]
1: [[1, 3], [14, 6, 4], [2, 7, 10, 5, 8], [9, 11, 13, 12], [15, 16], [18, 17, 19, 20]]
2: [[1, 3], [14, 6, 4], [5, 7, 10], [2, 8], [9, 11, 13, 12], [15, 16], [18, 17, 19, 20]]
3: [[1, 3], [14, 6, 4], [2, 7, 10], [5, 8, 9], [11, 13, 12], [15, 16], [18, 17, 19, 20]]
4: [[1, 3], [14, 6, 4], [2, 7, 10], [5, 8, 9], [11, 13, 12], [15, 16], [18, 17, 19, 20]]
5: [[1, 3], [14, 6, 4], [5, 7, 10, 2], [8, 9, 11, 13, 12, 15, 16], [18, 17, 19, 20]]
6: [[1, 3], [14, 6, 4], [2, 7], [10, 5, 8, 9], [11, 13, 12], [15, 16, 18, 17, 19, 20]]
7: [[1, 3], [14, 6], [4, 2, 7], [10, 5, 8], [9, 11], [13, 12, 15, 16], [18, 17, 19, 20]]
8: [[1, 3], [14, 6], [4, 2], [5, 10, 7], [8, 9, 11], [13, 12], [15, 16, 18], [17, 19, 20]]
9: [[1, 3], [14, 6], [4, 5], [2, 10, 7], [8, 9, 11, 13], [12, 15, 16, 18], [17, 19, 20]]
10: [[1, 3], [14, 6, 4, 2, 7, 10, 5], [8, 9, 11, 13], [12, 15, 16, 18, 17, 19, 20]]
11: [[1, 3, 14], [6, 4], [2, 7, 10, 5], [8, 9, 11, 13], [12, 15, 16], [18, 17, 19, 20]]
12: [[1, 3, 14], [6, 4], [2, 5], [10, 7, 8], [9, 11, 13], [12, 15, 16], [18, 17, 19, 20]]
13: [[1, 14, 3], [5, 7, 6, 4], [10, 2, 8], [9, 11, 13, 12], [15, 16, 18, 17, 19], [20]]
14: [[1, 3, 14], [6, 4, 5, 7], [10, 2, 8], [9, 11, 13, 12], [15, 16, 18, 17, 19], [20]]
15: [[1, 3, 14], [6, 4, 5], [7, 10, 2], [8, 9, 11], [13, 12], [15, 16], [18, 17, 19, 20]]
16: [[1, 3], [14, 6, 4], [7, 10, 5, 2, 8, 9, 11, 13, 12, 15, 16], [18, 17, 19, 20]]
17: [[1, 3], [14, 6, 4, 2, 7, 10, 5, 8, 9, 11, 13], [12, 15, 16, 18, 17, 19, 20]]
18: [[1, 3, 14], [6, 4, 5], [7, 10], [2, 8], [9, 11, 13], [12, 15, 16, 18], [17, 19, 20]]
19: [[1, 3], [14, 6, 4], [2, 7, 10, 5], [8, 9], [11, 13, 12, 15], [16, 18, 17], [19, 20]]
20: [[1, 3], [14, 6, 4, 2], [7, 10, 5], [8, 9, 11, 13], [12, 15], [16, 18, 17], [19, 20]]
21: [[1, 7], [6, 3, 4], [2, 14], [10, 5, 8, 9], [11, 13, 12], [15, 16], [18, 17, 19, 20]]
22: [[1, 3], [14, 4], [2, 7, 12, 5], [8], [9, 11, 13], [10, 15, 16, 18, 6], [17, 19, 20]]
23: [[1, 3, 11], [5, 10, 7, 4], [8, 9, 14, 2, 6], [13, 12, 15], [16, 18], [17, 19, 20]]
24: [[1, 3, 14], [6, 4, 2], [5, 10], [7, 8], [9, 11, 13], [12, 15, 16, 18], [17, 19, 20]]
25: [[1, 3, 14], [6, 4, 2], [7, 10], [5, 8], [9, 11, 13], [12, 15, 16, 18], [17, 19, 20]]
26: [[1, 3, 14], [6, 2, 4], [7, 10, 5], [8, 9, 11], [13, 12, 15], [16, 18], [17, 19, 20]]
27: [[1, 3, 14], [6, 4, 2], [7, 10, 5], [8, 9, 11], [13, 12, 15], [16, 18, 17], [19, 20]]
28: [[1], [14], [4, 7, 6], [10, 5, 8, 2], [9, 11, 13, 3], [12, 15], [16, 18, 17], [19, 20]]
29: [[1, 3], [14, 6, 2], [7, 4, 10, 5], [8, 9, 11, 13, 12, 15, 16, 18, 17, 19, 20]]
30: [[1, 3], [14, 6, 4], [2, 7, 10], [5, 8, 9], [11, 13], [12, 15], [16, 18], [17, 19, 20]]
31: [[1, 14, 3], [2, 6, 4, 7, 10, 5], [8, 9, 11, 13, 12, 15, 16, 18, 17, 19, 20]]
32: [[1, 3], [14, 6], [4, 2], [7, 12], [5, 8], [9, 11, 13], [10, 15, 16], [18, 17, 19, 20]]
33: [[1, 3, 14], [6, 4, 2, 7, 10, 5, 8, 9, 11, 13, 12, 15, 16, 18], [17, 19, 20]]
34: [[1, 3], [14, 6, 4, 5, 7, 10, 2, 8, 9, 11, 13, 12, 15, 16, 18, 17], [19, 20]]
35: [[1, 3], [14, 6, 4, 2], [5, 10, 7, 8, 9, 11, 13, 12, 15, 16, 18, 17, 19, 20]]
36: [[1, 3, 14, 6], [4, 2, 7], [10, 5, 8, 9, 11, 13, 12, 15, 16, 18, 17, 19, 20]]
37: [[1, 3], [14, 6, 4, 2, 7, 10, 5, 8, 9, 11, 13, 12, 15, 16, 18, 17, 19], [20]]
38: [[1, 10, 11], [2, 6, 4], [7, 3, 5], [8, 9], [14, 13, 12], [15, 16, 18, 17], [19, 20]]
39: [[1, 3, 14], [6, 4, 2], [15, 5, 7], [8, 9], [11, 13], [12, 10, 16, 18], [17, 19, 20]]
