0: [[3, 19, 5, 4, 6, 13, 8, 10, 12], [1, 11, 7, 2, 9, 18, 15, 16, 17, 14], [20, 22, 25, 23, 29], [24, 28], [21, 26, 27]]
1: [[3, 19, 5, 4, 6, 13, 8, 10, 12], [1, 11, 7, 2, 9, 18, 15, 16, 17, 14], [20, 22, 25, 23, 29], [24, 28], [21, 26, 27]]
2: [[3, 19, 5, 1, 6, 12], [2, 4, 7, 11, 8, 15], [9, 13, 10, 14, 16, 17, 18, 20], [23, 27, 21, 26, 25], [22, 28, 24, 29]]
3: [[3, 19, 5, 1, 6, 8, 2, 7, 10], [4, 15, 12, 9, 14, 11, 13, 17, 22], [16, 23, 18, 20], [21, 26, 24, 25, 27, 28, 29]]
4: [[3, 19, 5, 4, 6, 13, 10, 1], [12, 9, 14, 11, 2, 15], [16, 8, 17, 20], [23, 22, 18, 24, 7, 28], [25, 29], [21, 26], [27]]
5: [[3, 19, 5, 4, 6, 12, 8, 10, 2], [1, 7, 15, 11], [9, 27, 13, 16, 17, 14, 22, 18], [21, 20, 25, 24], [26, 23, 29, 28]]
6: [[3, 19, 5, 1, 6], [2, 4, 10, 7, 9, 11, 8, 13, 12, 29, 14, 15, 16, 18, 21, 22, 20, 17, 23, 24], [28, 26, 27, 25]]
7: [[3, 19, 5, 2, 6], [13, 7, 12, 1], [8, 4, 15], [10, 9, 11, 14, 17, 16, 18], [20, 23, 27, 29, 21, 24, 22, 25, 26, 28]]
8: [[3, 19, 5, 4, 6, 13, 8, 10, 2], [1, 7, 9, 11, 12, 27, 15, 16, 14, 25, 20, 23, 29], [22, 17, 18, 24], [21, 26, 28]]
9: [[3, 19, 5, 4, 6, 13, 2, 8, 14, 11, 1, 7, 9, 15, 10, 12, 17, 22, 21, 20, 16, 25, 24, 29], [18, 26], [23, 27, 28]]
10: [[3, 19, 5, 4, 6], [13, 8, 10, 12, 1], [11, 7, 2, 9, 18, 15, 16, 17, 14], [28, 20, 25, 23, 22, 24, 26, 21, 29, 27]]
11: [[3, 19, 5, 1, 6, 8, 2], [4, 9, 12, 15, 7, 11, 14, 10], [13, 16, 17, 22, 21, 18], [20, 26, 23, 24, 25, 27, 29, 28]]
12: [[3, 19, 5, 1, 6, 10], [2, 9, 7, 8, 4, 14, 11, 13, 24], [15, 25, 20, 18, 22, 12, 23, 16, 17, 21, 27, 26, 29], [28]]
13: [[3, 19, 5, 1, 6], [13, 15, 10], [4, 7, 9], [2, 11, 12, 8, 14, 17], [16, 20, 23, 22, 28], [18, 21, 24, 25, 26, 29, 27]]
