0: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
1: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
2: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
3: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
4: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
5: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
6: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
7: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
8: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
9: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
10: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
11: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
12: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
13: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
14: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
15: [[2, 10], [9], [24, 28, 18], [3, 11, 20], [21, 27], [4], [6, 5, 25], [15, 13, 16, 12], [19, 1], [26, 29, 14], [23, 17, 7, 8], [22]]
