0: [[10, 8], [1, 3], [5, 7, 2], [15, 16, 14, 6], [13, 11, 12, 9], [19, 20, 18, 17, 4]]
1: [[10, 8], [1, 3], [5, 7, 2], [15, 16, 14, 6], [13, 11, 12, 9], [19, 20, 18, 17, 4]]
2: [[10, 8], [1, 3], [5, 7, 2], [14, 16, 4, 6], [11, 13, 12, 9, 19], [18, 15, 17, 20]]
3: [[10, 8], [1, 3], [5, 7, 2], [14, 16, 11, 6], [12, 9, 13, 15], [19, 17, 18, 20, 4]]
4: [[10, 8], [1, 3], [5, 7, 2], [11, 16, 14, 6], [13, 15, 12, 9], [19, 20, 18, 17], [4]]
5: [[10, 8], [1, 3], [5, 7, 2], [15, 14, 11, 6], [13, 12, 16, 9], [19, 20, 18, 17, 4]]
6: [[10, 8], [1, 3], [5, 7, 2, 14], [12, 11, 13, 16, 6, 4, 9], [15, 20, 19, 17, 18]]
7: [[10, 8], [1, 3], [5, 7], [14, 2, 6, 4], [13, 11, 12, 20, 19, 9], [18, 15, 16, 17]]
8: [[10, 8], [1, 3], [5, 7], [12, 11, 6, 2], [4, 13, 9, 14], [17, 19, 20, 15, 16, 18]]
9: [[10, 8], [1, 3], [5, 7], [13, 2, 6, 4], [11, 12, 15, 18, 14, 9], [19, 17, 16, 20]]
10: [[10, 8], [1, 3], [5, 7], [2, 6, 4, 13, 15], [9, 12, 14, 17, 11], [18, 20, 16, 19]]
11: [[10, 8], [1, 3, 5, 11, 2, 6, 4], [9, 7, 13, 12], [14, 20, 15, 17, 18, 16, 19]]
12: [[10, 8], [1, 3], [5, 7], [14, 2, 6, 4], [11, 12, 15], [20, 19, 18, 13, 17, 16, 9]]
13: [[10, 8], [1, 3], [5, 7, 6], [4, 2, 13, 9, 14], [12, 11, 15, 17], [20, 19, 16, 18]]
14: [[10, 8], [1, 3], [5, 7, 2], [11], [16, 13, 14, 12, 15, 19, 18, 17, 20, 4, 6, 9]]
15: [[10, 8], [1, 3], [5, 7, 4], [2, 11, 12, 6, 9], [13, 15, 17, 14, 18, 16, 20, 19]]
16: [[10, 8, 1, 3], [5, 2], [14, 16, 7, 15, 6, 4], [13, 11, 12, 19, 18, 17, 20, 9]]
17: [[10, 8], [1, 3], [5, 7], [2, 18, 4], [11, 6, 9, 12], [14, 15, 19, 17, 13, 16, 20]]
18: [[10, 8], [1, 3], [5, 7, 2, 11], [14, 6, 13, 4], [9, 20, 12, 19], [15, 17, 16, 18]]
19: [[10, 8], [1, 3], [5, 7, 2, 6], [4, 13, 14, 9], [12, 16], [18, 11], [19, 15, 17, 20]]
20: [[10, 8, 1, 3], [7, 5, 6, 2], [4, 13, 11, 15, 9, 16, 20, 14, 18, 19, 12, 17]]
21: [[10, 8], [1, 3], [7, 15, 2, 4, 5, 9], [6, 13, 12, 11], [18, 14, 19, 17, 16, 20]]
22: [[10, 8], [1, 3, 5], [7, 14, 6], [2], [12, 11], [16, 9], [19, 20, 15], [17, 18, 13, 4]]
23: [[10, 8], [1, 3], [5, 7], [4, 2, 6], [11, 13], [9, 12, 15], [14, 18], [16, 19, 17, 20]]
24: [[10, 8], [1, 3, 5, 7, 2], [4, 9, 6, 12, 11, 14, 13, 15, 19], [18, 16, 20, 17]]
25: [[10, 8], [1, 3], [5, 7, 13], [2, 6, 4, 11, 12, 15, 19, 14, 9, 17, 18, 16, 20]]
26: [[10, 8], [1, 3], [5, 7], [14, 2, 6, 4], [11, 13, 15, 20], [19, 9, 12, 16, 17], [18]]
27: [[10, 8, 1], [3, 5, 7, 9], [2, 14, 16, 6], [13], [11], [12, 15], [19, 18, 17], [20, 4]]
28: [[10, 8, 2], [1], [3, 5, 7, 4, 9], [6, 12, 11, 15, 13, 16, 18, 17, 14, 19, 20]]
29: [[10, 8], [1, 3], [5, 7, 2], [14, 12, 6], [15, 11, 13], [16, 9, 19], [20, 17, 18, 4]]
30: [[10, 8], [1, 3], [5, 7, 6], [2, 4, 14, 9], [13, 15, 11, 17], [20, 12, 18, 19, 16]]
31: [[10, 8], [1], [3, 5, 7, 2], [16, 14, 13, 6, 4, 12, 19, 11, 9, 15, 17, 20, 18]]
32: [[10, 8, 1], [3, 5, 4], [7, 2], [12], [11, 9], [13], [14, 18, 6, 15], [19, 17, 16, 20]]
33: [[10, 8], [1, 3], [5, 11], [2, 6, 9, 4, 7, 13, 12, 15, 17, 14, 18, 19, 16, 20]]
34: [[10, 8, 1, 3], [5, 4, 2, 11, 6, 13, 12], [7, 9, 16, 17, 14, 20, 18, 15, 19]]
35: [[10, 8], [1, 3, 5], [7, 2, 14, 16], [6, 13, 11, 9, 12, 15, 19, 18, 17, 20, 4]]
36: [[10, 8], [1, 3, 7, 11, 4], [6, 2, 9], [5, 12, 13, 14, 20, 15], [17, 18, 16, 19]]
37: [[10, 8], [1], [3, 5, 7, 9], [12, 4], [2, 14, 11, 6], [13, 19, 18], [16, 17, 20, 15]]
38: [[10, 8], [1], [3, 5, 7, 12, 2], [6, 4, 11, 13, 15, 18, 14, 9, 17, 19, 16, 20]]
39: [[10, 8, 1], [3, 5, 6], [9, 2], [7, 4, 13], [11, 14, 12], [18], [16, 15, 17], [19, 20]]
40: [[10, 8], [1, 3, 5, 7, 2, 6, 4, 15, 13, 11, 9, 12, 20, 19, 17, 14], [16, 18]]
41: [[10, 8, 1], [3, 5, 7], [2, 12, 4], [6, 13], [9, 11], [14, 16], [15, 18, 19], [17, 20]]
