0: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
1: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
2: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
3: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
4: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
5: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
6: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
7: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
8: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
9: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
10: [[7, 13, 9, 22, 6, 10], [19, 24, 18, 2], [21, 28, 1, 15, 4, 26], [17, 3, 16, 8, 11, 12], [27, 5, 23, 25, 29, 20, 14]]
