0: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
1: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
2: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
3: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
4: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
5: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
6: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
7: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
8: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
9: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
10: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
11: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
12: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
13: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
14: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
15: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
16: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
17: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
18: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
19: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
20: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
21: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
22: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
23: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
24: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
25: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
26: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
27: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
28: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
29: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
30: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
31: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
32: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
33: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
34: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
35: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
36: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
37: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
38: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
39: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
40: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
41: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
42: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
43: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
44: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
45: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
46: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
47: [[18, 16, 3], [19, 4, 1, 2], [11, 13, 7], [8, 12, 5, 15], [10, 6, 14], [9, 22, 17, 20], [23, 21, 24]]
