0: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
1: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
2: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
3: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
4: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
5: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
6: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
7: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
8: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
9: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
10: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
11: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
12: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
13: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
14: [[36, 8, 33, 50], [37, 7, 38, 16, 15, 32], [58, 2, 35, 17, 25, 46, 43], [29, 45, 4, 10], [27, 1, 20, 19, 9, 11, 12, 3, 14], [23, 47, 48, 26, 40, 22, 28, 39], [5, 53, 30, 44, 18], [56, 13, 31, 52, 54, 34, 41, 21, 6], [42, 24, 55, 51, 59], [57, 49, 60]]
