0: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13], [1, 9, 18, 10], [15, 16, 12], [29, 23, 22, 14], [21, 26, 27], [28, 24], [25, 20]]
1: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13], [1, 9, 18, 10], [15, 16, 12], [29, 23, 22, 14], [21, 26, 27], [28, 24], [25, 20]]
2: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13], [1, 9, 18, 10], [15, 16, 12], [29, 23, 22, 14], [21, 26, 27], [28, 24], [25, 20]]
3: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13, 9], [1, 12], [15, 28, 16, 14], [23, 20, 18, 10, 22], [21, 26, 27, 25], [24, 29]]
4: [[5, 17], [6, 11], [2, 19, 7, 3], [4, 8, 13], [1, 9, 22], [10, 15, 16], [12, 14, 20, 18], [25, 21, 26, 27], [23, 24, 29, 28]]
5: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [1, 9, 15], [24, 22, 16, 10], [14, 26, 20], [21, 27], [28, 29, 23], [25], [18, 12]]
6: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 12, 8], [1, 15, 21, 9, 14, 10, 13, 18, 16, 22, 20], [24, 26, 27], [25, 28, 23, 29]]
7: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [9, 1, 10, 15], [12, 14, 20, 18], [23, 16, 22], [21, 26, 29, 25], [24, 27, 28]]
8: [[5, 17, 6, 11], [2, 19, 7], [3, 4], [8, 13, 1, 9], [18, 10, 15, 16], [12, 29, 23, 28], [14, 21, 20], [22, 24], [26, 25, 27]]
9: [[5, 17, 6, 11, 2, 19, 7], [3, 4, 8], [13, 1, 9, 18, 22], [15, 16, 14], [23, 10, 12], [24, 21, 27, 29, 28, 26, 25, 20]]
10: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13, 1, 9, 10, 28, 15, 14, 16], [12, 20, 27, 26, 22, 21, 23], [24, 25, 18, 29]]
11: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13, 9, 1, 10, 12], [14, 15, 16], [28, 23, 18, 20, 21, 26, 27, 22, 25], [29, 24]]
12: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13, 1], [9, 18], [14, 15, 16], [10, 23, 22], [24, 12], [21], [27, 20, 29, 28, 26, 25]]
13: [[5, 17, 6, 11], [2, 19, 7, 3, 4, 8], [9, 13, 1, 15, 12], [20, 10, 14, 23, 18, 16, 22, 26, 27, 25, 21], [29, 24, 28]]
14: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [13, 1, 9, 10], [22, 12, 14, 20, 15, 18, 16, 29, 21, 23, 27, 24, 25, 26, 28]]
15: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 9], [1, 10, 15, 12, 18, 14, 16, 20, 26, 21, 27, 23, 24, 29, 22, 25, 28, 13]]
16: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13], [1, 9, 18, 14], [15, 16, 12, 28, 23, 20, 10, 29, 21, 27, 22, 24, 25, 26]]
17: [[5, 17, 6], [11, 2, 19], [7, 3, 4, 8], [9, 13, 1, 22], [23, 16, 18, 24, 15, 25, 10, 12, 14], [26, 27, 20], [29, 21, 28]]
18: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [1, 9, 23], [24, 14, 10, 12], [15, 20, 16], [21, 27], [18, 22, 29], [25], [26, 28]]
19: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [13, 9, 1, 18], [14, 23, 20, 12, 15, 10, 16, 22, 21, 24, 27, 25, 26, 29, 28]]
20: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [1, 9, 23], [24, 14, 10, 12], [15, 20, 16], [21, 27], [18, 22, 29], [25], [26, 28]]
21: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13], [1, 9, 18, 12], [15, 16, 14], [28, 22, 20, 10], [21, 26, 23], [24, 25, 27, 29]]
22: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 9, 13, 1, 15, 12, 26, 10, 14, 21, 23, 16, 18, 20, 27, 22, 25, 29, 24, 28]]
23: [[5, 17, 6, 11], [2, 19, 7], [3, 4, 8, 13, 1, 9, 15, 28, 20, 18, 14, 10, 26, 12, 16, 21, 25, 29, 23, 22, 24, 27]]
24: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [1, 9, 18], [15, 14, 16, 12], [25, 23, 10, 20], [21, 26, 22], [28, 27, 24, 29]]
25: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [1, 9, 18], [14, 15, 16, 12], [22, 23, 20, 10], [26], [21, 27, 24], [25, 28, 29]]
26: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [13, 1, 9, 26], [10, 12, 16], [14, 15, 18, 22, 23], [21, 20, 24, 29, 25, 28, 27]]
27: [[5, 17, 6], [11, 2, 19], [7, 3, 4, 8, 13], [1, 9, 10, 15], [12, 14, 16, 22], [20, 26, 27], [21, 29, 23, 25], [24, 18, 28]]
28: [[5, 17, 6, 11, 2, 19, 7, 3, 4, 8, 13], [9, 1, 10, 12, 15, 14, 20], [16, 23, 18, 22], [21, 26, 29, 24, 25, 27, 28]]
29: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [9, 1, 13], [22, 20, 12], [10, 14, 15], [16, 18, 26, 27], [21, 24, 25], [29, 23, 28]]
30: [[5, 17, 6, 11], [2, 19, 7, 3, 4, 8, 13, 1, 9, 25, 10], [14, 20, 12, 15, 16, 21, 23, 22, 18, 26, 24, 28, 27, 29]]
31: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [13, 9, 1, 18], [14, 23, 20, 12], [10, 15, 16], [22, 29, 21, 27], [25, 24, 26, 28]]
32: [[5, 17, 6], [11, 2, 19], [7, 3, 4, 8], [13, 1, 9, 12], [15, 14, 16], [22, 20, 23, 10, 18, 21, 24, 27, 25, 26, 28, 29]]
33: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8], [13, 1, 9, 26], [14, 15, 20, 12], [18, 10, 16], [22, 29, 21, 27], [24, 28, 23, 25]]
34: [[5, 17, 6], [11, 2, 19, 7, 3], [4, 8, 13, 9, 1, 18, 22, 10, 14], [15, 20, 16, 21, 24, 23, 27, 25, 26, 29, 28, 12]]
35: [[5, 17, 6], [11, 2, 19, 7], [3, 4, 8, 13], [1, 9, 18, 12], [10, 16, 14, 15], [21, 20, 23, 26], [22, 25, 27], [29, 24, 28]]
36: [[5, 17, 6, 11], [2, 19, 7, 3, 4, 8, 9, 13, 1, 15, 14, 10], [12, 16, 29, 20], [22, 26, 21, 18, 23, 28, 24, 27, 25]]
37: [[5, 17, 6, 11], [2, 19, 7, 3], [4, 8, 13], [1, 9, 18, 14], [15, 16, 12, 29], [23, 20, 10], [21, 22, 27, 25], [24, 26, 28]]
38: [[5, 17, 6], [11, 2, 19, 7, 3, 4, 8, 13, 1, 9, 10, 22], [14, 12, 20, 15], [23, 16, 28, 21, 18, 27, 24, 25, 26, 29]]
39: [[5, 17, 6], [11], [2, 19, 7, 3], [4, 8, 13, 1, 9, 15, 29, 14, 12, 20, 10, 18, 16, 26, 21, 22, 27, 25, 23, 24, 28]]
