0: [[20, 2, 1, 13], [3, 10, 6], [4, 15, 5], [7, 11], [8, 12, 9, 14, 17, 19], [18, 16, 22], [21, 23, 24]]
1: [[2], [10, 6, 3], [4, 15, 5], [7, 11], [8, 12, 9, 13, 20, 1], [14, 17], [19, 18, 16], [22, 21, 23, 24]]
2: [[2, 10, 20, 1], [6, 3], [4, 15], [5, 7, 11], [8, 12, 9, 13], [14, 17], [19, 18, 16, 22], [21, 23, 24]]
3: [[2], [10, 6], [3, 4, 15, 5], [7, 11], [8, 12, 9, 13, 20, 1], [14, 17, 19], [18, 16, 22], [21, 23, 24]]
4: [[13, 20, 1, 2], [10, 6, 3], [4, 15, 5, 7], [11, 8], [12, 9, 14, 17, 19], [18, 16, 22], [21, 23, 24]]
5: [[13, 20, 1, 2], [10, 6, 3, 4, 15], [5, 7, 11], [8, 12], [9, 14], [17, 19], [18, 16, 22], [21, 23, 24]]
6: [[2], [10, 6, 3], [4, 15], [5, 7, 11], [8, 12, 13, 20, 1], [9, 14, 17], [19, 18, 16], [22, 21, 23, 24]]
7: [[2], [10, 6], [3, 4, 15], [5, 7, 11], [8, 12, 9, 13, 20, 1], [14, 17, 19], [18, 16, 22], [21, 23, 24]]
8: [[13, 20, 1, 2], [10, 6], [3, 4, 15], [5, 7, 11], [8, 12, 9], [14, 17, 19], [18, 16, 22], [21, 23, 24]]
9: [[2], [10, 6], [3, 4, 15], [5, 7, 11], [8, 12, 9, 13, 20, 1], [14, 17, 19], [18, 16], [22, 21, 23, 24]]
10: [[2], [10, 6], [3, 4, 15], [5, 7, 11], [8, 12, 9, 13, 20, 1], [14, 17], [19, 18, 16, 22], [21, 23, 24]]
11: [[2], [10, 6], [3, 4], [15, 5, 7, 11], [8, 12, 9, 13, 20, 1], [14, 17, 19], [18, 16, 22], [21, 23, 24]]
12: [[13, 20, 1], [2, 10], [6, 3, 4], [15, 5, 7], [11, 8, 12], [9, 14, 17], [19, 18, 16, 22], [21, 23, 24]]
13: [[2, 10, 20, 1], [6, 3, 4], [15, 5, 7], [11, 8, 12, 13], [9, 14, 17], [19, 18], [16, 22], [21, 23, 24]]
14: [[2, 10, 20, 1], [6, 3, 4], [15, 5, 7], [11, 8, 12, 13], [9, 14], [17, 19, 18], [16, 22], [21, 23, 24]]
15: [[13], [2, 6, 3, 4, 1], [15, 5], [7, 11], [8, 12, 9, 20], [14, 17, 19, 10], [18, 16], [22, 21], [23, 24]]
16: [[2, 10], [6, 3, 4, 15], [5, 7], [11, 8], [12, 9, 13, 20, 1], [14, 17], [19, 18], [16, 22], [21, 23, 24]]
17: [[13, 20, 1], [2, 10, 6], [3, 4], [15, 5, 7], [11, 8, 12, 9], [14, 17, 19], [18, 16, 22], [21, 23, 24]]
18: [[2], [10, 6, 3], [4, 15, 5, 7], [11, 8], [12, 9, 13, 20, 1], [14, 17], [19, 18], [16, 22], [21, 23, 24]]
19: [[2], [10, 6, 3], [4, 15, 5], [7, 11, 8], [12, 9, 14, 13, 1], [17, 19, 18, 20], [16, 22, 21], [23, 24]]
20: [[13, 20, 1], [2, 10], [6, 3], [4, 15, 5], [7, 11, 8, 12], [9, 14], [17, 19, 18], [16, 22, 21], [23, 24]]
21: [[13, 20, 2, 1], [3, 10, 6], [4, 15, 5], [7, 11], [8, 12, 9, 14, 17], [19, 18, 16], [22, 21, 23], [24]]
22: [[13, 20, 2, 1], [3, 10, 6], [4, 15, 5], [7, 11], [8, 12, 9, 14, 17, 19], [18, 16, 22, 21, 23, 24]]
23: [[2], [6, 13, 1], [3, 4], [15, 5], [7, 11], [8, 12, 20], [9, 14, 10], [17, 19, 18, 16], [22, 21], [23, 24]]
24: [[13, 20], [1, 2, 10, 6, 3, 4, 15, 5, 7, 11, 8, 12, 9, 14, 17, 19, 18, 16, 22, 21], [23, 24]]
25: [[2, 10, 20, 1], [6, 3, 4], [15, 5, 7], [11, 8, 12, 13], [9, 14, 17], [19, 18, 16], [22, 21], [23, 24]]
26: [[2], [10, 6, 3], [4, 15], [5, 7, 11], [8, 12, 9, 13, 20, 1], [14, 17, 19], [18, 16], [22, 21, 23], [24]]
27: [[2], [10, 6, 3, 1], [4, 15, 5], [7, 11], [8, 12, 9, 14, 13, 20], [17, 19, 18], [16, 22, 21, 23, 24]]
28: [[2], [10, 6, 3, 1], [4, 15, 5], [7, 11], [8, 12, 13, 20], [9, 14, 17, 19, 18], [16, 22, 21, 23, 24]]
29: [[2], [10, 6], [3, 4], [15, 5], [7, 11], [8, 12, 9, 13, 20, 1], [14, 17, 19, 18], [16, 22, 21], [23, 24]]
30: [[2, 10, 6, 3], [4, 15, 5], [7, 11, 8], [12, 9, 13, 20, 1], [14, 17, 19], [18, 16, 22, 21, 23, 24]]
31: [[2, 10], [6, 3], [4, 15], [5, 7, 11], [8, 12, 13, 20, 1], [9, 14, 17], [19, 18, 16], [22, 21, 23], [24]]
32: [[13, 20, 1, 2], [10, 6, 3], [4, 15, 5], [7, 11], [8, 12, 9], [14], [17, 19, 18, 16, 22, 21, 23, 24]]
33: [[2], [10, 6], [3, 4, 15], [5, 7], [11, 8, 12, 9, 14, 13], [17, 19, 20, 1], [18, 16, 22, 21], [23, 24]]
34: [[2, 10], [6, 3], [4, 15, 5], [7, 11, 8], [12, 9, 14, 13, 20, 1], [17, 19, 18, 16, 22, 21, 23, 24]]
35: [[13, 2, 1], [10, 6, 3], [4, 15, 5], [7, 11, 8, 12, 20], [9, 14, 17, 19, 18, 16, 22, 21, 23, 24]]
36: [[13, 20, 1], [2, 10, 6, 3, 4, 15, 5, 7, 11, 8, 12, 9, 14, 17], [19, 18, 16, 22, 21, 23, 24]]
37: [[2, 10, 20], [6, 3, 4, 15, 1], [5, 7], [11, 8, 12, 13], [9, 14, 17, 19], [18, 16, 22, 21, 23, 24]]
