0: [[13, 7], [4, 12, 8, 10], [1, 5, 2, 3], [6, 9, 11]]
1: [[13, 7], [4, 12, 8, 10], [1, 5, 2, 3], [6, 9, 11]]
2: [[13, 7], [4, 12, 8, 10], [1, 5, 2, 3], [6, 9, 11]]
3: [[13, 7], [4, 12, 8, 10], [1, 5, 2, 3], [6, 9, 11]]
4: [[13, 7], [4, 12, 8, 10], [1, 5, 2, 3], [6, 9, 11]]
5: [[13, 7], [4, 12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
6: [[13, 7], [4, 12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
7: [[13, 7], [4, 12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
8: [[13, 7], [4, 12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
9: [[13, 7], [4, 12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
10: [[13, 7], [4, 12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
11: [[13, 7], [4, 12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
12: [[13, 7], [4, 12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
13: [[13, 7], [4, 12], [8, 10], [1, 5, 2, 3], [6, 9, 11]]
14: [[13, 7], [4, 12, 8], [10, 1, 5, 2], [3, 6, 9, 11]]
15: [[13, 7], [4, 12, 8], [10, 1, 5, 2], [3, 6, 9, 11]]
16: [[13, 7], [4, 12, 8], [10, 1, 5, 2], [3, 6, 9, 11]]
17: [[13, 7], [4, 12, 8], [10, 1, 5, 2], [3, 6, 9, 11]]
18: [[13, 7], [4, 12], [8, 10], [1, 5, 2, 3], [6, 9, 11]]
19: [[13, 7], [4, 12], [8, 10], [1, 5, 2, 3], [6, 9, 11]]
20: [[13, 7, 4, 12], [8, 10], [1, 5, 2], [3, 6, 9, 11]]
21: [[13, 7, 4, 12], [8, 10, 1], [5, 2, 3, 6], [9, 11]]
22: [[13, 7, 4, 12], [8, 10, 1], [5, 2, 3, 6], [9, 11]]
23: [[13, 7, 4], [12, 8, 10], [1, 5, 2], [3, 6], [9, 11]]
24: [[13, 7, 4], [12, 8, 10], [1, 5, 2], [3, 6, 9, 11]]
25: [[13, 7, 4], [12, 8, 10, 1], [5, 2, 3, 6], [9, 11]]
