0: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8], [26, 27], [15, 31, 14, 19, 13, 23], [16, 18, 51, 59, 17, 21], [25, 20, 28, 29], [30, 11, 57, 33], [32, 42, 34, 35, 37], [39, 36, 44, 45, 40, 10], [41, 53, 46, 43], [61, 47, 60, 52, 48], [58, 55, 62, 56], [49, 63, 50, 54, 68], [66, 64, 65, 73, 67, 71], [78, 69, 70, 72, 76, 75, 74], [79, 84, 82, 81, 83, 80, 85], [87, 86, 88]]
1: [[24, 2, 77, 1], [7, 5, 3, 4, 38], [6, 9, 8, 30], [14, 15], [25, 27, 11], [17, 54, 19, 50, 26, 21], [16, 18, 20, 39, 10], [31, 29, 37], [28, 32, 58, 41, 35], [48, 33, 45, 40, 36, 34, 23], [43, 42, 46, 12, 13, 22], [44, 59, 47], [52, 60, 56, 55, 62], [49, 51], [53, 63, 57], [61, 68, 66], [64, 67, 65, 71, 70], [78, 73, 72, 69, 75, 74, 76], [79, 84, 81, 80, 83, 85, 82], [86, 87, 88]]
2: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 26, 11, 10], [29, 13, 14, 16, 15], [50, 49, 19, 21, 17, 31], [18, 20, 28, 62, 60, 63, 23, 56, 43, 25, 32, 33, 53, 27, 36], [46, 40, 51, 30, 34, 42, 35, 41, 37, 45, 39, 44, 48, 59, 57, 47, 54], [61, 52, 58, 55, 68, 66, 64, 65, 71, 67, 69, 70, 72, 78, 73, 76, 75, 74, 79, 88, 80, 81, 84, 87, 82], [83, 86, 85]]
3: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 30, 10], [14, 11, 15, 31], [16, 21, 20, 51, 19], [13, 27, 25, 26, 23, 17], [29, 28, 34, 36, 61], [18, 47, 32, 37, 44, 33, 39], [42, 35, 40, 43, 45, 41], [46, 60, 48, 52, 62, 54, 50], [59, 55, 53, 57, 56, 58], [49, 63, 68, 66, 64, 65, 69], [71, 70, 78, 67, 72, 74, 76], [75, 73], [79, 81, 82, 80, 83, 86, 85, 87, 84, 88]]
4: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 30, 10], [14, 11, 15, 31], [16, 21, 20, 51, 19], [13, 27, 25, 26, 23, 17], [29, 28, 34, 36, 61], [18, 47, 32, 37, 44, 33, 39], [42, 35, 40, 43, 45, 41], [46, 60, 48, 52, 62, 54, 50], [59, 55, 53, 57, 56, 58], [49, 63, 68, 66, 64, 65, 69], [71, 70, 78, 67, 72, 74, 76], [75, 73], [79, 81, 82, 80, 83, 86, 85, 87, 84, 88]]
5: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 30, 10, 11], [13, 15, 23, 18, 16], [25, 19, 17, 28, 29, 27, 26, 51, 20, 31, 44], [59, 21, 50, 33, 45, 34, 41, 36, 37, 39], [14, 35, 40, 42, 47, 32, 46, 60, 53, 52, 48, 54, 57, 43, 55, 56, 58, 63, 62, 49, 61, 68], [67, 64, 65, 69, 71, 66, 74, 73, 70, 72, 75, 79, 76, 78, 82, 81, 80, 83, 85, 87, 86, 84, 88]]
6: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8, 10], [27, 14, 30, 15, 16, 11], [13], [17, 19, 18, 21, 20, 23, 25, 28, 29, 60, 46], [32, 58, 26], [48, 56, 57, 31, 37, 55], [39, 33, 42, 47, 34], [35, 40, 52, 36, 41, 45, 53, 43, 54, 44, 50, 51, 49, 59, 63, 62, 61, 68, 66, 64], [65, 70, 71, 67, 69, 73, 74, 72, 75, 76, 78, 79, 84, 81, 80, 87, 83, 85, 82, 86, 88]]
7: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6], [9, 8, 27, 10, 11], [25, 41, 15], [26, 29], [17, 13, 48, 28, 19, 18], [20, 23, 62, 14, 16], [21, 30, 42, 32, 34, 60, 31], [43, 36, 39], [33, 35, 37, 40, 47, 45], [50], [51, 54, 44, 52, 46], [63, 49], [58, 59, 53, 55, 61, 57], [56, 66, 67, 65, 64, 69], [71, 68, 78, 72], [76, 73, 70, 74], [75, 79, 84, 82, 80], [87, 88, 83, 86, 85, 81]]
8: [[24, 2, 77, 1, 12, 22], [7, 4, 3, 5, 38], [6, 9, 8], [26, 15], [14, 13, 16, 19, 28, 20], [17, 18, 51, 56, 23, 21], [25, 27, 31, 29], [30, 11, 42, 33], [32, 34, 35, 37, 45], [39, 36, 44, 41, 40, 10], [43, 52, 46, 47, 61, 48], [50, 53, 54, 59, 63, 55], [57, 49, 62, 58, 60], [68, 66], [64, 65, 69, 71, 67, 70, 75, 72, 74, 73], [78, 76, 79, 84, 82, 81], [83, 80, 85, 87, 86, 88]]
9: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38, 6], [9, 8, 26, 11, 10, 15, 41], [29, 13, 19, 23, 20], [16, 17, 21, 18, 25, 27, 28], [30, 31, 56, 14, 55, 47, 34, 32, 58, 35, 33, 43, 42, 36, 37, 39, 44, 46, 40], [45, 48, 49, 61, 51, 52], [53, 54, 62, 57, 50, 59], [60, 63, 68, 66, 64, 65, 69, 71], [70, 72, 73], [78, 74, 76, 75, 79, 67, 81, 82, 83, 87], [80, 85, 84, 86, 88]]
10: [[24, 2, 77, 1, 12, 22], [7, 5, 3, 4, 38], [6, 9, 8], [26, 15, 14, 13, 31, 18], [11, 19, 16, 20, 50, 29], [17, 21, 27, 28, 23], [60, 46, 34, 41], [30, 25, 49, 58, 33, 39, 35, 36, 44, 32, 37, 10, 40, 45, 42, 47, 48, 43, 61, 51], [53, 56, 55, 62, 52, 59, 54, 57, 63, 68, 66, 64, 65, 73, 71, 67, 70, 69, 78, 72, 76, 75], [74, 79, 84, 82, 80, 87, 81, 85, 83, 86, 88]]
