0: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21], [22, 24], [25, 28, 26], [31, 32, 30, 33, 34], [36]]
1: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21], [22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
2: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28, 26], [31, 32, 30], [33, 34, 36]]
3: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21], [22, 24, 25], [28, 26, 31], [32, 30, 33, 34, 36]]
4: [[11, 17], [4, 3], [1, 35, 18], [12, 37, 2], [5, 7, 9], [6, 8, 14], [10, 29], [13, 19, 15], [20, 16, 23], [27, 21], [22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
5: [[11, 17, 4], [3, 1, 35, 18], [12, 37], [2, 5, 7, 9], [6, 8, 14], [10, 29], [13, 19, 15], [20, 16], [23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
6: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29, 13], [19, 15, 20], [16, 23, 27, 21], [22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
7: [[11, 17, 4], [3, 1, 35, 18, 12, 37, 2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15, 20, 16], [23, 27, 21], [22, 24, 25], [28, 26, 31], [32, 30, 33], [34, 36]]
8: [[11, 17, 4], [3, 1, 35], [18, 12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28, 26], [31, 32, 30, 33, 34, 36]]
9: [[11, 17, 4], [3, 1], [35, 18, 12], [37, 2], [5, 7, 9], [6, 8], [14, 10], [29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
10: [[11, 17, 4], [3, 1, 35, 18], [12, 37], [2, 5, 7], [9, 6, 8], [14, 10, 29], [13, 19, 15], [20, 16, 23], [27, 21, 22], [24, 25, 28, 26], [31, 32, 30], [33, 34, 36]]
11: [[11, 17, 4], [3, 1, 35], [18, 12, 37, 2], [5, 7, 9], [6, 8, 14], [10, 29, 13], [19, 15, 20], [16, 23, 27], [21, 22, 24], [25, 28, 26], [31, 32, 30], [33, 34, 36]]
