0: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
1: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
2: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
3: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
4: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
5: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
6: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
7: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
8: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
9: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
10: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
11: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
12: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
13: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
14: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
15: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
16: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
17: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
18: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
19: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
20: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
21: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
22: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
23: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
24: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
25: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
26: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
27: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
28: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
29: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
30: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
31: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
32: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
33: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
34: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
35: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
36: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
37: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
38: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
39: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
40: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
41: [[16, 14, 4, 6], [5, 7, 10, 9], [13, 12, 17, 15], [1, 2], [3, 8], [11, 18, 20, 19]]
