0: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [8, 6, 11, 9]]
1: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
2: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
3: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
4: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
5: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
6: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
7: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
8: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
9: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
10: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
11: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
12: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [9, 6, 11, 8]]
13: [[10, 5, 2], [1, 3, 4], [12, 13, 7], [8, 6, 11, 9]]
14: [[10, 5, 2], [1, 3, 4], [12, 13, 7, 8], [6, 11, 9]]
15: [[10, 5, 2], [1, 3, 4], [12, 13, 7, 9], [6, 11, 8]]
16: [[10, 5, 2], [1, 3, 4], [12, 13, 7, 9], [6, 11, 8]]
17: [[10, 5, 2], [1, 3, 4], [12, 13, 7, 9], [6, 11, 8]]
18: [[10, 5, 2], [1, 3, 4], [12, 13, 7, 9], [6, 11, 8]]
19: [[10, 5, 2], [1, 3, 4], [12, 13, 7, 9], [6, 11, 8]]
20: [[10, 5, 2], [1, 3, 12, 4], [13, 9, 7], [6, 11, 8]]
21: [[10, 5], [1, 3, 4], [12, 13, 9, 7, 2], [6, 11, 8]]
22: [[10, 5, 2], [1, 3, 12, 4], [13, 9, 7], [6, 11, 8]]
23: [[10, 5, 2], [1, 3, 4], [12, 13, 7, 9, 6, 11, 8]]
24: [[10, 5, 2], [1, 3, 4, 12], [13, 7, 9, 6, 11, 8]]
25: [[10, 5, 2], [1, 3, 4], [12, 13, 9, 6, 11, 7], [8]]
26: [[10, 5, 2, 1], [3, 4, 12], [13, 7, 9, 6, 11, 8]]
27: [[10, 5], [2, 1, 3, 4, 12, 13, 7, 9, 6], [11, 8]]
