0: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
1: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
2: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
3: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
4: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
5: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
6: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
7: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
8: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
9: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
10: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
11: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
12: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
13: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
14: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
15: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
16: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
17: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
18: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
19: [[19, 4, 3, 5, 8, 10, 12], [1, 6, 2], [15, 7], [9, 11, 13, 17, 16, 22], [18, 14], [29, 23, 24, 28], [20, 25], [21, 27, 26]]
