0: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
1: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [6, 14, 4], [17, 20, 19, 18, 15]]
2: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
3: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
4: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
5: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
6: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
7: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
8: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
9: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
10: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
11: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
12: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
13: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
14: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
15: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
16: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
17: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
18: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
19: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
20: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
21: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
22: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
23: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
24: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
25: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
26: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
27: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
28: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
29: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
30: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
31: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
32: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
33: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
34: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
35: [[7, 16, 5, 10], [2, 3, 8, 1], [11, 12, 13, 9], [14, 6, 4], [17, 20, 19, 18, 15]]
36: [[7, 16, 5], [10, 2, 3, 8], [1, 11, 12, 13], [9, 14, 6, 4], [17, 20, 19, 18, 15]]
37: [[7, 16, 5], [10, 2, 3, 8], [1, 11, 12, 13], [14, 6, 4, 9], [17, 20, 19, 18, 15]]
38: [[7, 16, 5], [10, 2, 3, 8], [1, 11, 12, 13], [14, 6, 4, 9], [17, 20, 19, 18, 15]]
39: [[7, 16, 5], [10, 2, 3, 8], [1, 11, 12, 13], [14, 6, 4, 9], [17, 20, 19, 18, 15]]
40: [[7, 16, 5], [10, 2, 3, 8], [1, 11, 12, 13], [9, 14, 6, 4], [17, 20, 19, 18, 15]]
41: [[7, 16, 5], [10, 2, 3, 8], [1, 11, 12, 13], [9, 14, 6, 4], [17, 20, 19, 18, 15]]
