0: [[5, 35, 7, 1, 2], [30, 20, 19, 3, 32, 44], [12, 8, 11, 4, 25, 14, 15, 29, 6, 10], [9], [13, 17, 16, 18, 21], [24, 23, 26, 22, 27, 31, 28, 54, 34], [33, 38, 36, 37, 45], [43, 51, 41, 42, 39], [40, 46, 48, 50, 47], [60, 55, 52, 53, 56], [49, 57], [58, 59]]
1: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 4, 6, 10, 22, 8, 9, 13, 14, 31, 11, 15, 25, 16, 18, 17, 27, 23, 21, 24, 26, 28, 29, 36, 43, 33, 39, 41, 37, 34, 47, 38, 46, 40, 42, 45, 58, 48, 54, 50, 55], [53, 56, 51, 59, 49, 52, 60, 57]]
2: [[5, 35, 7, 1, 2], [30, 20, 19, 3, 32, 44], [12, 8, 4, 22, 11, 29, 14, 9], [13, 21, 6], [15, 17, 24, 31, 16, 26, 23, 25, 27, 28, 55, 34, 18, 10], [42, 46, 36, 37, 45, 41, 51, 33], [40, 39, 56, 38, 50, 43, 47, 48, 54, 59, 53, 52, 49, 57, 58, 60]]
3: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 6, 4, 13, 11], [9, 8, 27, 14, 29, 26], [31, 16], [18, 17, 21, 24, 10], [15, 25, 23, 22, 28], [37, 33, 36, 39, 34], [38, 47, 43, 46, 40], [45, 41, 42, 51, 48], [53, 54, 56, 50, 52], [55, 49, 58, 59, 57], [60]]
4: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 6, 10, 8, 11], [14, 9, 15, 18, 13, 4, 16, 17, 21, 26, 29, 31], [22, 23, 24, 25, 28], [27, 37, 33, 34, 47, 36, 43, 46, 38, 39, 41, 40], [42, 56, 53, 50, 48, 45, 55, 49, 52, 51, 58, 54, 57, 59, 60]]
5: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 4, 10], [8, 14, 9, 15, 13, 11, 18, 21, 6], [16, 17, 22, 24, 25], [28, 27, 23, 26], [29, 56, 38, 31, 42, 34], [36, 37, 47, 39, 40, 41, 33, 45, 43, 51, 46], [54, 48, 52, 53, 49, 57, 50, 55, 58, 59, 60]]
6: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 10], [4, 6, 8, 9, 15, 11, 14, 22, 16, 25, 23, 18, 13, 26, 28, 29, 21, 24, 17, 31, 27, 36, 37, 42, 39, 33, 34, 38, 40, 43, 45, 46, 47, 41], [56, 53, 50, 51, 55, 52, 48, 54, 57, 49, 60, 58, 59]]
7: [[5, 35, 7, 3, 2], [30, 20, 19, 1, 32], [44, 12, 6, 11, 8, 10], [4, 14, 29, 15, 27], [13, 9, 16, 22, 18, 21], [28, 17, 26, 23, 24, 25, 31], [52, 34, 33, 36, 41], [37, 42, 43, 51, 39, 45, 40, 46], [47, 50, 48, 38], [57, 54, 49, 53, 55, 56, 58, 59, 60]]
8: [[5], [35, 7, 3, 2], [30, 20, 19, 1, 32], [44, 13, 6, 4, 9], [12, 10, 11, 29, 8, 14, 15, 17, 21, 23, 16, 18, 25, 26, 24, 27], [22, 31, 28, 38, 33, 34, 36, 37], [39, 42, 43, 40], [45, 41, 46, 47, 52, 50, 48, 51, 53], [54, 49, 55, 56, 57, 59, 58, 60]]
9: [[5, 35, 7, 3, 30, 2], [20, 19, 1, 32, 44], [12, 6, 10, 21], [14, 13, 15, 16, 4, 8, 18], [11, 24, 9, 25], [17], [22, 26, 23, 29, 27, 28], [31, 52, 34, 33, 45, 38, 36], [39, 46, 40, 37], [42, 47, 59, 58, 43], [51, 57, 54, 41, 49, 53, 48, 50, 55, 56, 60]]
10: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32, 44, 12, 4, 15, 10, 22, 8, 9, 11, 14, 13, 16, 21, 17, 18, 6, 29, 23, 24, 26, 25, 27, 28, 31, 36, 33, 43, 38, 34, 37, 47, 39, 45, 40], [42, 58, 41, 51, 48, 55, 46, 53, 50, 56], [54, 49, 57, 52, 59, 60]]
11: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [13, 4, 6, 8, 11, 10], [9, 12, 14, 15, 26, 31], [16, 18, 25, 21, 24, 17], [23, 22, 29, 27, 28], [36, 38, 39, 33], [37, 34, 46, 40, 47, 42], [43, 41, 45, 51, 50, 48], [52, 59], [49, 54, 56, 53, 55, 58, 60, 57]]
12: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 4, 14, 8, 10, 15, 9, 6, 11], [13, 28, 18, 21, 17], [16, 27, 23, 22, 31, 26, 24], [29, 25, 36, 33, 46, 47, 34, 37, 39, 38, 42], [41, 40, 43, 57, 45], [50, 53, 48, 52, 49, 56, 51, 55, 54, 58, 59, 60]]
13: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 6, 4, 10, 9, 15], [8, 29, 11, 14], [13, 25, 22, 16, 18, 17, 21, 23, 24, 26, 31, 27, 28, 38, 33, 36, 37, 34, 45, 46, 40, 41, 39, 42, 47, 43, 57, 51, 49], [54, 55, 53, 50, 48], [52, 58, 56, 59, 60]]
14: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [12, 6, 10, 8, 9, 13, 21, 15, 18, 11, 14, 16], [17, 23, 22, 29, 26, 24, 31, 25, 28, 4, 27, 37, 34, 33, 45], [38, 42, 46, 39, 47, 41, 40, 43, 56, 54, 48, 50, 36, 49, 52, 53, 51, 55, 58, 57, 59, 60]]
15: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12, 4, 10, 14], [8, 6, 9, 11, 15], [28, 13, 16, 22, 23, 17, 18, 21, 24, 29, 27, 31, 26, 25, 36, 34, 38, 39, 40, 37, 47, 42, 41, 43, 48, 45, 46, 59, 50, 52, 33, 57, 51, 53, 49, 54, 55, 58, 60, 56]]
16: [[5, 35, 7, 2, 3], [30, 20, 19, 1, 32], [44, 4, 6, 8, 9, 11, 12, 28, 15, 13, 10, 14, 27, 17, 18, 16, 21], [25, 22, 29, 23, 24, 31, 26, 39, 34, 42, 43, 33, 45, 38, 36, 37, 47, 40, 46, 41, 57, 51, 60, 48, 50, 52, 49], [53, 54, 55, 58, 59, 56]]
17: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32, 44], [4, 8, 9, 14, 11, 13, 12, 15, 16, 22, 26, 18, 17, 23, 24, 27, 25, 28, 31, 29, 37, 51, 42, 34, 10, 21, 6], [33, 36, 38, 41, 40, 43, 45, 46, 59, 47, 50, 49, 48, 53], [54, 55, 56, 39, 52, 57, 58, 60]]
18: [[5, 35, 7, 2, 1], [30, 20, 19, 3, 32], [44, 12], [4, 6, 24, 11, 14, 8, 27, 9, 15, 13], [29, 10, 18, 16, 23, 21, 17, 25, 22, 26, 28, 31], [36, 33, 42, 37, 34, 38, 40, 59, 39, 41], [43, 45, 47, 60, 46, 50, 49, 53, 55, 54, 57], [56, 48, 51, 52, 58]]
