0: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11, 10], [17, 16, 14], [20, 25], [23, 12, 22], [27, 21, 26], [24, 28, 29]]
1: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11, 10], [17, 16, 14], [20, 25], [23, 12, 22], [27, 21, 26], [24, 28, 29]]
2: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11, 10], [12, 20, 14], [16, 25], [22, 28, 17, 23], [21, 26, 24, 29, 27]]
3: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 10], [16, 28, 14], [17, 20], [23, 22, 12], [24, 29, 25], [21, 26, 27]]
4: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 10], [16, 28, 14], [17, 20], [23, 22, 12], [24, 29, 25], [21, 26, 27]]
5: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11], [10, 17, 16], [14, 20, 25], [23, 12, 22], [24, 21, 26, 27, 28, 29]]
6: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18], [11, 10, 14], [12, 16, 22, 25, 17], [27, 23, 20, 21, 24, 26, 29, 28]]
7: [[13, 9], [7, 2, 19], [1, 5, 6], [3, 4, 8], [15, 18, 11], [16, 10, 14], [28, 17, 25], [23, 22], [24, 20, 26, 12], [21, 27], [29]]
8: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18], [11, 10, 14], [12, 16, 25], [17, 23], [20, 27, 22], [21, 26, 24, 29, 28]]
9: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18], [11, 10, 14], [12, 20, 17], [16, 23, 24], [27, 21], [22, 26, 25], [28, 29]]
10: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 20], [14, 12, 17], [25, 10, 23, 16, 22, 24], [21, 26, 27, 28, 29]]
11: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11], [10, 12], [28, 14, 21, 16, 23, 22, 17, 24, 29, 26, 20, 27], [25]]
12: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11], [10, 12, 28], [24, 25], [17, 21, 14, 16], [23, 22, 20], [27, 26, 29]]
13: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11, 10, 20, 16], [28, 12, 25], [23, 22, 17, 14, 29, 21, 24, 27, 26]]
14: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11, 10], [12, 20, 14], [16, 25, 23], [17, 21, 26], [22, 27], [24, 28, 29]]
15: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4], [15, 18], [11, 10, 17], [12, 14, 20, 25, 23, 29], [22, 16, 21], [27, 26, 24, 28]]
16: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11], [12, 10, 16, 28, 20, 29], [21, 14, 17], [22, 23, 26, 24, 27, 25]]
17: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 10, 20, 24, 12, 25, 17], [22, 14], [27, 16, 21, 23, 26, 28, 29]]
18: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18], [11, 10, 20], [16, 14, 21], [25, 23, 12], [17, 22, 29, 26, 24, 28, 27]]
19: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8], [4, 15, 18], [11, 10, 17, 20, 12, 14, 25, 16, 24, 21, 23, 22, 26], [27, 28, 29]]
20: [[13, 9, 7], [2, 19], [1, 5, 6], [3, 8, 4], [15, 18, 11], [10, 24, 12], [14, 17, 25, 20, 16, 22, 23, 21, 26, 27, 28, 29]]
21: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15, 18, 11, 10], [17, 16, 14], [20, 25, 12, 21], [26, 28, 22, 27, 23, 24, 29]]
22: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4], [15, 18, 11], [10, 20, 16, 28], [12, 25, 21, 14, 17, 22, 23, 26, 24, 27, 29]]
23: [[13, 9, 7], [2, 19], [1, 5, 6], [3, 8, 4], [15, 18, 11], [10, 20, 16, 14, 17, 25, 23, 12, 22, 29, 21, 26, 24, 27, 28]]
24: [[13, 9, 7], [2, 19, 1], [5, 6, 3, 8, 4, 15, 18, 11, 10, 12, 14, 24], [20, 21, 17, 16, 22, 26, 23, 27, 25, 28, 29]]
25: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 10], [17, 16, 14], [20, 25, 23], [12, 22], [24, 21, 26], [27, 28, 29]]
26: [[13, 9, 7, 2, 19, 1], [5, 6, 3], [8, 4, 15, 18], [11, 10, 20, 12, 14, 16, 24, 23, 17], [21, 28, 22, 27, 25, 26, 29]]
27: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15, 18], [11, 17, 10], [14, 28], [20, 29, 25], [12, 23, 16], [24, 21], [26, 22, 27]]
28: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 10], [17, 16, 14, 20, 25, 23, 12, 22, 24, 21, 26, 29, 27, 28]]
29: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11], [10, 12, 20], [14, 28], [17, 23, 16], [25, 22, 21, 26, 24], [27, 29]]
30: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4], [15, 18, 11], [10, 12, 20], [14, 28], [17, 23, 16], [25, 22, 21, 26, 24], [27, 29]]
31: [[13, 9, 7], [2, 19, 1], [5, 6], [3, 8, 4, 15], [18, 11], [10, 20], [17, 14], [21, 25, 23], [12, 16, 22, 26], [27, 24, 28, 29]]
32: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4], [15, 18, 11], [10, 17, 16], [14, 20, 24], [23, 28, 22, 12, 21, 26], [27, 25, 29]]
33: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4, 15], [18, 11, 10, 12, 16, 28, 20, 25, 21, 14, 22, 17], [23, 26, 24, 29, 27]]
34: [[13, 9, 7, 22], [2, 19], [1, 5, 6], [3, 8, 4], [15, 18, 11], [17, 24, 20, 21, 10, 14], [23, 16, 25, 26, 27, 28, 29, 12]]
35: [[13, 9, 7], [2, 19], [1, 5, 6], [3, 8, 4, 15, 18], [11, 10], [20, 12, 14, 24, 21, 23, 16, 28, 22, 17, 25, 27, 26, 29]]
36: [[13, 9, 7], [2, 19], [1, 5, 6], [3, 8, 4, 15, 18], [11, 10], [14, 12, 24, 17, 25, 23, 16, 26, 22, 21, 20, 27, 28, 29]]
37: [[13, 9, 7], [2, 19, 1], [5, 6, 3], [8, 4], [15, 18, 11], [10, 20, 16], [14, 24], [25, 23, 17], [21, 28, 22, 26, 12, 27, 29]]
38: [[13, 9], [7, 2], [19, 1], [5, 6], [3, 8], [4, 15, 18], [11, 10, 17], [16, 14, 20], [25, 23], [12, 22], [24, 21, 26], [28, 27, 29]]
39: [[13, 9, 7], [2, 19, 1, 5, 6, 3, 8, 4, 15, 18, 11, 10, 20, 16, 14, 12, 24], [23, 25, 17, 22, 21, 26, 28, 27, 29]]
40: [[13, 9, 7, 2, 19], [1], [5, 3, 8, 10, 4, 6, 14, 11, 15, 20, 17, 12, 16, 24, 23, 28, 18, 21, 25, 26, 22, 29, 27]]
