0: [[1, 5, 3], [9, 4, 10, 6, 2], [11, 7, 13, 12, 8]]
1: [[1, 5, 3], [2, 9, 4, 10, 6], [11, 7, 13, 12, 8]]
2: [[1, 5, 3], [2, 9, 4, 10, 6], [11, 7, 13, 12, 8]]
3: [[1, 5, 3], [2, 9, 4, 10, 6], [11, 7, 13, 12, 8]]
4: [[1, 5, 3], [2, 9, 4, 10, 6], [11, 7, 13, 12, 8]]
5: [[1, 5, 3], [2, 9, 4, 10, 6], [11, 7, 13, 12, 8]]
6: [[1, 5, 3], [2, 9, 4, 10, 6], [11, 7, 13, 12, 8]]
7: [[1, 5, 3], [2, 9, 4, 10, 6], [11, 7, 13, 12, 8]]
8: [[1, 5, 3], [2, 9, 4, 10, 6, 11], [7, 13, 12, 8]]
9: [[1, 5, 3], [2, 9, 4, 10, 6, 11], [7, 13, 12, 8]]
10: [[1, 5, 3, 2], [9, 4, 10, 6], [11, 7, 13, 12, 8]]
11: [[1, 5, 3, 2], [9, 4, 10, 6], [11, 7, 13, 12, 8]]
12: [[1, 5, 3, 2], [9, 4, 10, 6, 11], [7, 13, 12, 8]]
13: [[1, 5, 3, 2], [9, 4, 10], [6, 11, 7, 13, 12, 8]]
14: [[1, 5, 3, 2, 9], [4, 10, 6], [11, 7, 13, 12, 8]]
15: [[1, 5, 3, 2, 9], [4, 10, 6], [11, 7, 13, 12, 8]]
16: [[1, 5, 3, 2, 9], [4, 10, 6], [11, 7, 13, 12, 8]]
17: [[1, 5, 3, 2, 9], [4, 10, 6, 11], [7, 13, 12, 8]]
18: [[1, 5, 3, 2, 9], [4, 10, 6, 11], [7, 13, 12, 8]]
19: [[1, 5, 3, 2, 9], [4, 10, 6, 11], [7, 13, 12, 8]]
20: [[1, 5, 3, 2, 9, 4], [10, 6, 11], [7, 13, 12, 8]]
21: [[1, 5, 3], [2, 9, 4], [10, 6, 11, 7, 13, 12, 8]]
22: [[1, 5, 3], [2, 9, 4], [10, 6, 11, 7, 13, 12, 8]]
23: [[1, 5], [3, 2, 9, 4, 10, 6], [11, 7, 13, 12, 8]]
24: [[1, 5, 3, 2, 9, 4], [10, 6], [11, 7, 13, 12, 8]]
25: [[1, 5, 3, 2, 9, 4], [10, 6], [11, 7, 13, 12, 8]]
26: [[1, 5, 3, 2, 9, 4], [10, 6], [11, 7, 13, 12, 8]]
27: [[1, 5], [3, 2, 9, 4, 10], [6, 11, 7, 13, 12, 8]]
