0: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
1: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
2: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
3: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
4: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
5: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
6: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
7: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
8: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
9: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
10: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
11: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
12: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
13: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
14: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
15: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
16: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
17: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
18: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
19: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
20: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
21: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
22: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
23: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
24: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
25: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
26: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
27: [[3, 6, 1, 4], [11, 8], [13, 12, 7], [5, 10, 9, 2]]
