0: [[19, 3, 5, 1, 10], [4, 2, 6, 7, 15, 12], [14, 9, 18, 11, 17, 16], [8, 22, 13], [25, 20], [23, 24, 28], [26, 27, 21, 29]]
1: [[19, 3, 5, 1, 2, 6], [4, 8, 7, 9, 13, 12, 11, 14, 10, 15, 18], [16, 17, 22, 24, 29, 23], [20], [21, 26, 27, 28, 25]]
2: [[19, 3, 5, 1, 10], [4, 2, 6, 7, 15, 12], [9, 11, 14, 18, 17, 16], [8, 22, 13, 25, 20], [23, 24, 28, 26, 27, 21, 29]]
3: [[19, 3, 5, 1, 2, 6], [10, 4, 7, 15, 12, 13, 9, 8, 17, 23, 24, 11], [20, 28, 14, 18, 26, 22, 21, 16, 27, 25, 29]]
4: [[19, 3], [5, 1, 2, 6, 10], [4, 7, 15], [8, 9, 13, 11, 17, 22, 12], [23, 20, 29, 16, 25, 26, 18, 21, 24, 28, 27, 14]]
5: [[19, 3, 5, 1, 10, 2, 6], [4, 7], [15, 12, 8, 9, 26, 14, 17, 13, 11, 22, 24, 21, 16, 18, 20], [25, 27], [23, 29, 28]]
6: [[19, 3, 5, 1, 10, 2], [4, 12, 13, 15, 6], [7, 11], [8, 9, 16, 25], [22, 14, 18, 17, 21, 23, 20, 24], [27, 26, 29, 28]]
7: [[19, 3, 5, 1], [10, 2, 4, 6, 13, 9, 15, 7, 8, 11, 14, 20, 16, 18, 12, 22, 17, 21, 23, 25, 24], [26, 27, 28, 29]]
8: [[19, 3, 5, 1, 10, 2], [4, 13, 6, 15, 8, 7, 9, 11, 14, 16, 17], [26, 12, 18, 20, 21, 28, 22, 25, 27, 23, 29, 24]]
9: [[19, 3, 5, 1, 2, 6], [4, 12, 7, 15, 8, 10, 9, 11, 13, 14, 18], [17, 16, 20, 21, 23, 22, 27], [24, 25, 29, 26, 28]]
10: [[19, 3, 5, 1, 10, 2, 6], [4, 8, 15, 13, 7, 11, 9, 12, 16, 17], [14, 20, 28, 21, 18, 27], [22, 23, 24, 25, 26, 29]]
