It No., Best MQ, No clusters, max clus, min clus
1,1.9168350168350168,4,5,5
2,1.8295454545454546,4,5,5
3,1.8498007368975111,4,5,5
4,1.8673645320197045,4,5,5
5,2.244805194805195,6,4,3
6,1.9282923897528361,4,5,5
7,1.7363636363636363,3,7,6
8,2.033570487483531,5,4,4
9,1.8095785440613026,3,7,6
10,1.9967942732648614,4,6,4
11,1.69718413681262,3,7,6
12,2.124043227304097,6,4,2
13,1.7693383038210624,3,7,6
14,1.892745185848634,5,4,4
15,1.936841432225064,4,6,4
16,1.9476250122801848,4,5,5
17,1.69718413681262,3,7,6
