0: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22], [16, 20, 35, 12, 2], [23, 7, 19, 14, 37], [5, 13, 11], [21, 27], [28, 24, 26], [31, 30, 34]]
1: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22], [16, 20, 35, 12, 2], [23, 7, 19, 14, 37], [5, 13, 11], [21, 27], [28, 24, 26], [31, 30, 34]]
2: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22], [16, 20, 35, 12, 2], [23, 7, 19, 14, 37], [5, 13, 11], [21, 27], [28, 24, 26], [31, 30, 34]]
3: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22], [16, 20, 35, 12, 2], [23, 7, 19, 14, 37], [5, 13, 11], [21, 27], [28, 24, 26], [31, 30, 34]]
4: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22], [16, 20, 35, 12, 2], [23, 7, 19], [14, 37, 5, 13, 11], [21, 27, 28, 24, 26], [31, 30, 34]]
5: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22], [16, 20, 35, 12, 2], [23, 7, 19], [14, 37, 5, 13, 11], [21, 27, 28, 24, 26], [31, 30, 34]]
6: [[15, 6], [8, 36], [25, 17, 4], [18, 9, 32, 10], [29, 1, 3], [33, 22, 16], [20, 35, 12, 2], [23, 7], [19, 14], [37, 5, 13, 11], [21, 27], [28, 24, 26], [31, 30, 34]]
7: [[15, 6, 8], [36, 25], [17, 4], [18, 9, 32, 10], [29, 1], [3, 33, 22, 16], [20, 35, 12, 2], [23, 7, 19, 14, 37], [5, 13, 11], [21, 27, 28, 24], [26, 31, 30, 34]]
8: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1, 3], [33, 22, 16, 20, 35], [12, 2, 23, 7], [19, 14, 37, 5, 13], [11, 21, 27, 28, 24], [26, 31, 30, 34]]
9: [[15, 6, 8], [36, 25, 17, 4], [18, 9], [32, 10, 29, 1, 3], [33, 22, 16], [20, 35, 12, 2], [23, 7, 19, 14], [37, 5, 13, 11], [21, 27, 28, 24], [26, 31, 30, 34]]
10: [[15, 6, 8, 36], [25, 17, 4], [18, 9], [32], [10, 29, 1, 3, 33], [22, 16, 20, 35], [12], [2, 23, 7, 19, 14], [37, 5, 13, 11], [21, 27, 28, 24], [26, 31, 30, 34]]
11: [[15, 6, 8, 36], [25, 17, 4], [18, 9], [32, 10, 29, 1], [3, 33, 22, 16, 20], [35, 12, 2, 23, 7], [19, 14, 37, 5, 13], [11, 21, 27, 28], [24, 26, 31, 30, 34]]
12: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33, 22, 16, 20, 35, 12], [2, 23, 7, 19, 14, 37, 5], [13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
13: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3, 33], [22, 16, 20, 35, 12], [2, 23, 7, 19, 14], [37, 5, 13], [11, 21], [27, 28, 24, 26], [31, 30, 34]]
14: [[15], [6, 8], [36], [25, 17, 4], [18, 9, 32, 10], [29, 1, 3, 33], [22, 16, 20], [35, 12, 2], [23, 7, 19, 14, 37], [5, 13, 11], [21, 27], [28, 24, 26], [31, 30, 34]]
15: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32, 10], [29, 1, 3], [33, 22, 16], [20, 35, 12, 2], [23, 7, 19, 14], [37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
16: [[15, 6, 8, 36], [25, 17, 4], [18, 9, 32], [10, 29, 1, 3], [33, 22, 16, 20, 35], [12, 2, 23, 7], [19, 14, 37, 5, 13], [11, 21, 27, 28, 24], [26, 31, 30, 34]]
17: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1], [3, 33, 22, 16], [20, 35, 12, 2], [23, 7, 19, 14, 37, 5, 13, 11, 21, 27, 28, 24, 26, 31, 30, 34]]
18: [[15, 6, 8, 36], [25], [17, 4], [18, 9, 32], [10, 29, 1, 3], [33, 22, 16, 20, 35], [12, 2], [23, 7, 19, 14], [37, 5, 13, 11], [21, 27, 28], [24, 26, 31, 30], [34]]
