0: [[14, 13, 20, 4], [8, 2], [1, 3], [12, 11], [7, 10, 5, 9], [16, 6], [18, 17, 19, 15]]
1: [[14, 13, 4], [20], [8, 2, 1], [3, 12, 11], [7, 10, 5, 9], [16, 6], [18, 17, 19, 15]]
2: [[14, 13, 20, 4], [8, 2], [1, 3, 12, 11], [7, 10, 5, 9], [16, 6], [18, 17, 19, 15]]
3: [[14, 13, 4], [20, 8, 2], [1, 3, 12, 11], [7, 10, 5, 9], [16, 6], [18, 17, 19, 15]]
4: [[14, 13, 20, 4], [8, 2], [1, 3], [12, 11], [7, 10], [5, 16, 9, 6], [18, 17, 19, 15]]
5: [[14, 13, 4], [20], [8, 2], [1, 3], [12, 11], [7, 10], [5, 16, 9, 6], [18, 17, 19, 15]]
6: [[14, 13, 20, 4], [8, 2], [1, 3, 12, 11], [7, 10, 5, 9], [16, 6, 18, 17, 19, 15]]
7: [[14, 13, 4], [20], [8, 2], [1, 3], [12, 11, 7, 10, 9], [5], [16, 6], [18, 17, 19, 15]]
8: [[14, 13, 4], [20], [8, 2], [1, 3], [12, 11], [7, 10], [5, 9], [16, 18, 6, 15], [17, 19]]
9: [[14, 13, 4], [20, 8], [2, 1, 3], [12, 11], [7, 10, 6], [5, 9], [16, 15], [18, 17, 19]]
10: [[14, 13, 4], [20, 8, 2], [1, 3], [12, 11, 7], [10, 5, 9], [16, 6], [18, 17, 19, 15]]
11: [[14, 13, 4], [20], [8, 2], [1, 3], [12, 11, 7, 10, 9], [5, 16, 6], [18, 17, 19, 15]]
12: [[14, 13, 20, 4], [8, 2, 1], [3, 12], [11, 7, 9], [10, 5], [16, 6], [18, 17, 19, 15]]
13: [[14, 13, 20, 4], [8, 2], [1, 3], [12, 11, 7], [10, 5, 9], [16, 18, 6, 15], [17, 19]]
14: [[14, 13, 4], [20], [8, 2, 1], [3, 12, 11, 7, 9], [10, 5], [16, 18, 6, 15], [17, 19]]
15: [[14, 13, 4], [20], [8, 2], [1, 3], [12, 11, 7], [10, 5, 9], [16, 18, 6, 15], [17, 19]]
16: [[14, 13, 20, 4], [8, 2], [1, 3], [12, 11], [7, 10, 5, 16, 18, 15, 17, 19, 9, 6]]
17: [[14, 13, 20, 4], [8, 2], [1, 3], [12, 11], [7, 10], [5, 9], [16, 18, 6, 15], [17], [19]]
18: [[14, 13, 4], [20], [8, 2], [1, 3], [12, 11, 7, 10, 9], [5, 16, 18, 17, 19, 6, 15]]
19: [[14, 13, 4], [20, 8], [2, 1], [3, 12], [11, 7, 9], [10, 5], [16, 6], [18, 17, 19, 15]]
20: [[14, 13, 4], [20], [8, 2], [1, 3, 12], [11, 7, 10, 9], [5, 16, 6], [18, 17, 19, 15]]
21: [[14, 13, 20, 4], [8, 2], [1, 3, 12, 11], [7, 10, 5, 17], [16, 6, 18, 19, 9, 15]]
22: [[14, 13, 4], [20], [8, 2], [1, 3, 12], [11, 7, 9], [10, 5], [16, 6], [18, 15], [17, 19]]
23: [[14, 13, 4], [20], [8, 2, 1], [3, 12], [11, 7, 9], [10, 5], [16, 6], [18, 15], [17, 19]]
24: [[14, 13, 4], [20], [8, 2], [1, 3, 12], [11, 7, 9], [10, 5], [16, 6], [18], [17, 19, 15]]
25: [[14, 13, 20, 4], [8, 2], [1, 3, 12, 11, 7, 10, 5, 16, 9], [6], [18, 17, 19, 15]]
26: [[14, 13, 20, 8, 4], [1, 3, 12, 11], [7, 10, 2], [5, 16, 18, 15, 17, 19, 9, 6]]
27: [[14, 13, 4], [20], [8, 2], [1, 3, 12, 11], [7, 10, 5, 16, 6, 18, 17, 19, 9, 15]]
28: [[14, 13, 4], [20], [8, 2], [1, 3, 12, 11], [7, 10], [5, 9], [16, 18, 6, 15], [17], [19]]
29: [[14, 13, 4], [20, 8, 2, 1, 3], [12, 11, 7, 10, 9], [5, 16, 18, 17, 19, 6, 15]]
30: [[14, 13, 4], [20, 8], [2, 1, 3], [12, 11], [7, 10], [5, 16, 9], [18, 6, 15], [17, 19]]
31: [[14, 13, 4], [20, 8], [2, 1, 3, 12], [11, 7, 9], [10, 5, 16, 6], [18, 17, 19, 15]]
32: [[14, 13, 4], [20, 8], [2, 1, 3, 12], [11, 7, 9], [10, 5, 16, 6], [18, 17, 19, 15]]
33: [[14, 13], [20], [8, 2, 1, 3], [12, 11, 7, 10, 9], [5, 16, 6, 18, 17, 19, 4, 15]]
34: [[14, 13, 4], [20, 8], [2, 1], [3, 12, 9], [11, 7, 10, 5], [16], [18, 17, 19, 6, 15]]
35: [[14, 13, 4], [20, 8], [2, 1, 3], [12, 11, 7], [10, 5], [16, 9, 6, 15], [18], [17, 19]]
36: [[14, 13, 20, 4, 8], [2, 1, 3, 12, 11, 7, 10, 5, 9, 16], [6, 18, 15, 17, 19]]
37: [[14, 13, 20, 4], [8, 2], [1, 3, 12, 11, 7, 10, 5, 16, 9], [6, 18, 17, 15], [19]]
38: [[14, 13, 4], [20, 8], [2, 1], [3, 12, 9], [11, 7, 10, 5], [16, 18, 6, 15], [17], [19]]
39: [[14, 13], [20, 8, 2, 4], [1, 3, 12, 11], [7, 10, 5, 16, 6, 18, 17, 19, 9, 15]]
40: [[14, 13, 4], [20, 8, 2, 1], [3, 12, 11, 7, 10, 5, 9, 16, 6, 18, 15, 17, 19]]
41: [[14, 13, 4], [20], [8, 2], [1, 3, 12, 11, 7, 10, 5, 9, 16, 6, 18, 17, 19, 15]]
