0: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11], [5, 17, 6], [1, 9, 19, 16, 2], [18, 13, 7, 10, 12, 22], [21, 29, 14]]
1: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11], [5, 17, 6], [1, 9, 19, 16, 2], [18, 13, 7, 10, 12, 22], [21, 29, 14]]
2: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11], [5, 17, 6], [1, 9, 19, 16, 2], [18, 13, 7, 10, 12, 22], [21, 29, 14]]
3: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11], [5, 17, 6], [1, 9, 19, 16, 2], [18, 13, 7, 10, 12, 22], [21, 29, 14]]
4: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11], [5, 17, 6], [1, 9, 19, 18, 2], [13, 16, 7, 10, 12, 22], [21, 29, 14]]
5: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11, 5, 17], [6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
6: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11], [5, 17, 6, 1, 9, 19], [16, 2, 18], [13, 7, 10, 12, 22, 21, 29, 14]]
7: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11], [5, 17, 6, 1], [9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
8: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11], [5, 17, 6], [1, 9], [19, 16, 2], [18, 13, 7, 10, 12], [21, 29, 22, 14]]
9: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11], [5, 17, 6], [1, 9], [19, 16, 2], [18, 13, 7, 10, 12], [22, 21, 29, 14]]
10: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11, 5, 17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
11: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11], [5, 17, 6, 1], [9, 19, 16, 2, 18], [13, 7, 10], [12, 22, 21, 29, 14]]
12: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11, 5, 17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12], [22, 21, 29, 14]]
13: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11], [5, 17, 6, 1, 9], [19, 18, 2], [16, 13, 7], [10, 12, 22, 21, 29, 14]]
14: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8, 11, 5, 17, 6, 1, 9, 19, 16, 2, 18, 13, 7, 10, 12], [22, 21, 29, 14]]
15: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17, 6, 1], [9, 19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
16: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4], [8, 11, 5, 17, 6], [1, 9, 19, 16, 2, 18, 13, 7, 10], [12, 22, 21, 29, 14]]
17: [[26, 27], [28, 24, 23], [25, 20], [15, 3], [4, 8, 11], [5, 17, 6, 1, 9], [19, 16, 2, 18, 13, 7, 10, 12, 22, 21, 29, 14]]
18: [[26, 27], [28, 24, 23], [25, 20], [15, 3, 4, 8], [11, 5, 17], [6, 1, 9, 19, 16, 2, 18, 13], [7, 10, 12, 22, 21, 29, 14]]
