0: [[9, 4, 10], [13, 2], [1, 3, 5], [12, 7], [6, 8, 11]]
1: [[9, 4, 10], [13, 2], [1, 3, 5], [12, 7], [6, 8, 11]]
2: [[9, 4, 10], [13, 2, 1, 3, 5, 12, 7], [6, 8, 11]]
3: [[9, 4, 10], [13, 2, 1, 3, 5], [12, 7, 6, 8, 11]]
4: [[9, 4, 10], [13, 2, 1, 3, 5], [12, 7, 6, 8, 11]]
5: [[9, 4, 10, 13], [2, 1], [3, 5], [12, 7], [6, 8, 11]]
6: [[9, 4, 10], [13, 2, 1, 3], [5], [12, 7], [6, 8, 11]]
7: [[9, 4], [10, 13, 2, 1, 3, 5, 12, 7], [6, 8, 11]]
8: [[9, 4], [10, 13], [2, 1, 3, 5], [12, 7], [6, 8, 11]]
9: [[9, 4], [10, 13, 2, 1, 3, 5, 12, 7], [6, 8, 11]]
10: [[9, 4, 10, 13], [2, 1, 3, 5, 12, 7], [6, 8, 11]]
11: [[9, 4, 10, 13, 2], [1, 3, 5, 12], [7, 6, 8, 11]]
12: [[9, 4], [10, 13, 2, 1], [3, 5], [12, 7], [6], [8, 11]]
13: [[9, 4], [10, 13], [2, 1], [3, 5], [12, 7], [6, 8, 11]]
14: [[9, 4], [10, 13], [2, 1], [3, 5], [12, 7], [6, 8, 11]]
15: [[9, 4], [10, 13, 2, 1, 3, 5, 12], [7, 6, 8, 11]]
16: [[9, 4], [10, 13], [2, 1], [3, 5], [12, 7], [6, 8, 11]]
17: [[9, 4], [10, 13, 2], [1, 3], [5, 12], [7, 6, 8, 11]]
18: [[9, 4], [10, 13], [2, 1, 3], [5, 12, 7], [6, 8, 11]]
19: [[9, 4], [10, 13, 2, 1, 3], [5, 12, 7, 6, 8, 11]]
20: [[9, 4], [10, 13, 2, 1, 3], [5, 12, 7, 6, 8, 11]]
21: [[9, 4], [10, 13], [2, 1, 3, 5], [12, 7, 6, 8], [11]]
22: [[9, 4], [10, 13], [2, 1, 3, 5, 12, 7, 6, 8, 11]]
23: [[9, 4], [10, 13], [2, 1, 3], [5, 12, 7, 6, 8, 11]]
24: [[9, 4], [10, 13], [2, 1], [3, 5], [12, 7, 6], [8, 11]]
25: [[9, 4], [10, 13], [2, 1, 3], [5, 12, 7, 6, 8, 11]]
26: [[9, 4], [10, 13, 2, 1, 3], [5, 12, 7, 6], [8, 11]]
27: [[9, 4], [10, 13], [2, 1, 3, 5, 12], [7, 6, 8], [11]]
