0: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
1: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
2: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
3: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
4: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
5: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
6: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
7: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
8: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
9: [[12, 3, 13, 11], [2, 1], [10, 9, 7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
10: [[12, 3, 13, 11], [2, 1], [10, 9, 7, 8], [4, 5, 6, 14, 15, 16], [17, 18, 19, 20]]
11: [[12, 3, 13, 11], [2, 1], [10, 9, 7, 8, 4, 5, 6], [14, 15, 16], [17, 18, 19, 20]]
12: [[12, 3, 13, 11, 2, 1], [10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
13: [[12, 3, 13, 11, 2, 1], [10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
14: [[12, 3, 13], [11, 2, 1, 10, 9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
15: [[12, 3, 13, 11], [2, 1], [10, 9, 7, 8], [4, 5, 6, 14, 15], [16, 17, 18, 19, 20]]
16: [[12, 3, 13, 11, 2, 1], [10, 9, 7, 8], [4, 5, 6, 14], [15, 16], [17, 18, 19, 20]]
17: [[12, 3, 13, 11], [2, 1, 10], [9, 7, 8, 4, 5, 6, 14], [15, 16], [17, 18, 19, 20]]
18: [[12, 3, 13, 11], [2, 1, 10, 9], [7, 8], [4, 5, 6, 14, 15, 16], [17, 18, 19, 20]]
19: [[12, 3, 13, 11, 2, 1], [10, 9], [7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
20: [[12, 3, 13, 11, 2, 1], [10, 9, 7, 8], [4, 5], [6, 14, 15], [16, 17, 18, 19, 20]]
21: [[12, 3, 13, 11, 2, 1, 10], [9, 7, 8], [4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
22: [[12, 3, 13, 11], [2, 1, 10, 9, 7], [8, 4], [5, 6, 14], [15, 16, 17, 18, 19, 20]]
23: [[12, 3, 13, 11], [2, 1, 10, 9, 7], [8, 4, 5, 6, 14, 15], [16, 17], [18, 19, 20]]
24: [[12, 3], [13, 11, 2, 1, 10, 9], [7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
25: [[12, 3], [13, 11, 2, 1], [10, 9, 7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
26: [[12, 3], [13, 11, 2, 1], [10, 9, 7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
27: [[12, 3], [13, 11, 2, 1], [10, 9, 7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
28: [[12, 3], [13, 11, 2, 1], [10, 9, 7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
29: [[12, 3, 13], [11, 2], [1, 10, 9, 7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
30: [[12, 3, 13, 11, 2, 1, 10, 9], [7, 8], [4, 5], [6, 14, 15, 16, 17], [18, 19, 20]]
31: [[12, 3, 13, 11], [2, 1, 10, 9, 7, 8, 4], [5, 6], [14, 15, 16, 17], [18, 19, 20]]
32: [[12, 3, 13, 11, 2, 1], [10, 9, 7], [8, 4, 5, 6], [14, 15], [16, 17, 18, 19, 20]]
33: [[12, 3], [13, 11, 2, 1, 10], [9, 7, 8, 4, 5], [6, 14, 15, 16], [17, 18, 19, 20]]
34: [[12, 3], [13, 11, 2, 1], [10, 9, 7, 8, 4, 5], [6, 14, 15], [16, 17, 18, 19, 20]]
35: [[12, 3], [13, 11, 2, 1, 10, 9, 7], [8, 4, 5, 6], [14, 15, 16, 17], [18, 19, 20]]
36: [[12, 3, 13], [11, 2, 1, 10, 9], [7, 8, 4, 5, 6, 14, 15], [16, 17], [18, 19, 20]]
37: [[12, 3], [13, 11, 2, 1], [10, 9, 7, 8, 4], [5, 6, 14, 15, 16], [17, 18, 19, 20]]
38: [[12, 3, 13, 11, 2], [1, 10, 9], [7, 8], [4, 5, 6, 14, 15], [16, 17, 18, 19, 20]]
39: [[12, 3], [13, 11, 2], [1, 10, 9, 7, 8, 4, 5, 6], [14, 15, 16, 17], [18, 19, 20]]
40: [[12, 3], [13, 11, 2, 1, 10, 9], [7, 8, 4], [5, 6, 14], [15, 16, 17, 18, 19, 20]]
41: [[12, 3], [13, 11, 2, 1], [10, 9, 7, 8, 4], [5, 6, 14, 15, 16, 17], [18, 19, 20]]
