0: [[7, 35, 1, 2], [3, 13, 5, 6, 21], [4, 9, 12, 11], [8, 27, 30, 14, 16, 31, 19, 15, 10], [22, 26, 17, 23, 25, 28], [24, 20, 29, 32, 37, 54], [39, 33, 36, 46], [40, 44, 43, 38, 18], [34, 42, 41, 45, 47], [51, 48, 52, 55], [50, 49, 53, 57], [58, 56, 59, 60]]
1: [[7, 35, 1, 2], [3, 13, 5, 6, 21], [4, 9, 12, 11], [8, 27, 30, 14, 16, 31, 19, 15, 10], [22, 26, 17, 23, 25, 28], [24, 20, 29, 32, 37, 54], [39, 33, 36, 46], [40, 44, 43, 38, 18], [34, 42, 41, 45, 47], [51, 48, 52, 55], [50, 49, 53, 57], [58, 56, 59, 60]]
2: [[7, 35, 1, 2], [3, 13, 21, 6, 5], [4, 8, 14, 27, 9, 11, 30, 10, 28, 12, 17, 18, 19, 20, 25, 22, 23, 24, 36, 26, 16, 15, 29, 32, 54, 38, 37, 46, 41, 47, 33, 31, 34, 43, 44, 40, 42], [45, 39, 48, 57, 49, 55, 50, 51, 52, 60], [53, 58, 59, 56]]
3: [[7, 35, 1, 2], [3, 13, 21, 6, 5], [4, 8, 14, 11, 12, 27, 9, 15], [10, 17, 23, 18], [25, 16, 19, 24, 20, 28, 29, 26, 22, 30, 31, 34, 48, 46, 41, 56, 36, 33, 37, 38, 47, 39, 40, 45, 42, 32], [54, 50, 49, 43, 51, 44, 52, 57, 53, 60], [55, 59, 58]]
4: [[7, 35, 1, 2], [3, 13, 5, 6, 21], [4, 25, 12, 10, 8, 27, 9, 24, 11, 31, 30, 14, 17, 18, 16], [23, 19, 20, 22], [26, 28, 15, 29, 40, 54], [33, 37, 34, 38, 39, 56, 42, 47, 32, 41, 46, 36, 59], [44, 55, 43], [45, 48, 49, 52, 50, 58, 51, 57, 53, 60]]
5: [[7, 35, 1, 2], [3, 13, 21, 4, 5, 6, 9, 8, 14, 11, 22, 10], [24, 15, 19, 23, 16, 26, 18, 17, 28, 25, 30, 20, 27, 29, 31, 32, 40, 36, 45, 12], [33, 38, 37, 34, 39, 42, 43, 44, 47, 46], [53, 49, 48, 41, 50, 57, 59], [58, 54, 52, 51, 55, 60, 56]]
6: [[7, 35, 1, 2], [3, 13, 21, 6], [5, 4, 9, 12, 27], [10, 8, 11, 26, 14, 16, 22, 31, 20, 19, 17, 24, 18, 25, 29], [23, 28, 30, 56, 36, 34, 41, 15, 46, 38, 42, 37, 33, 32, 51, 40, 43, 44, 39, 45], [57, 49, 50, 47], [53, 54, 48, 52, 55, 59, 60], [58]]
7: [[7, 35, 1, 2], [3, 13, 21, 6, 5, 4], [9, 14, 30, 15], [31, 11, 10, 8, 12, 18, 23, 19, 16, 17, 20, 22, 24, 25, 26, 28, 27, 29, 34, 54, 38, 32, 36, 37, 33, 48], [39, 44, 46, 40, 45, 43, 41, 47, 53, 52], [42, 51, 49, 57, 50, 56, 59, 55, 58, 60]]
8: [[7, 35, 1, 2], [3, 13, 21, 6, 5, 4], [9, 15, 31, 12, 10], [11, 8, 28, 26], [14, 18, 17, 16, 19, 20, 22, 24, 25, 27, 23, 29, 30, 32, 34, 38, 33, 47, 36, 37, 39, 43, 44, 40, 41, 42], [46, 45, 50, 57, 53, 48, 58, 49, 51, 54], [52, 59, 56, 55, 60]]
9: [[7, 35, 1, 2], [3, 13, 21, 6, 5, 4, 24, 14], [9, 15, 31, 8, 10, 16, 11], [30, 22, 12, 29, 17, 26, 18, 23, 19, 27, 20, 28], [25, 33, 41, 34, 36, 32, 46], [38, 47, 37, 44, 40, 39, 42, 51, 43, 52, 55, 45, 50, 53], [48, 57, 58, 49, 56, 54, 60, 59]]
10: [[7, 35, 1, 2], [3, 13, 21, 6, 5, 4], [9, 12], [8, 11, 14, 10, 18, 19, 31, 30, 15, 22, 17, 16, 20, 24, 29, 25, 23, 26, 28, 27, 37, 32, 33, 39, 34, 38, 40, 42, 41, 36, 44, 59, 47, 46, 43], [58, 53, 45, 48, 49, 51, 50, 54, 57, 52, 55, 56, 60]]
11: [[7, 35, 1, 2], [3, 13, 21, 6, 5], [4, 25, 10, 11, 8], [9, 30, 12, 17, 14], [22, 15, 20, 16, 19, 23, 18, 24, 26, 28, 27, 29, 31, 39, 54, 60, 44, 36, 41, 34, 33, 37, 32, 38, 42, 40, 45], [59, 43, 46, 48, 58], [47, 50, 55, 53, 49, 51, 57, 52, 56]]
12: [[7, 35, 1, 2, 3], [13, 5, 4, 21, 6], [9, 8, 26, 11, 12], [24, 30, 20, 14, 15, 16, 17, 19, 27, 22, 25, 23], [28, 29, 31, 32, 34, 44, 47, 41, 36, 33, 37, 40, 39, 38, 59, 42, 60, 43, 51, 48, 45, 18, 10], [46, 49, 56, 50, 54, 52, 57, 55, 53, 58]]
13: [[7, 35, 1, 2], [3, 13, 21, 6, 5], [4, 9, 10, 26, 12, 8, 24, 30, 11, 14], [22, 15, 17, 23, 27, 18, 19, 31, 16, 25, 20, 28, 29], [32, 42, 46, 33, 53, 41, 36, 34, 39, 37, 38, 44, 40, 43], [45, 47, 48, 59, 50, 51, 49, 52, 54, 55, 56, 57, 58, 60]]
14: [[7, 35, 1, 2], [3, 13, 21, 6, 5], [12, 24, 11, 31, 4, 8, 9, 10, 26, 14, 23, 20, 16, 17, 15, 30, 27, 22, 18, 19, 28, 25], [29, 32, 58, 47, 34, 33, 37, 40, 36, 38, 44, 41, 59, 39, 42, 45, 50, 49, 60, 46, 43, 51, 48, 53, 54, 52, 55, 56, 57]]
15: [[7, 35, 1, 2, 3], [13, 21, 6, 5], [4, 25, 14, 26, 8, 27, 31], [10, 12, 11, 9, 19, 15, 18, 24, 20, 23, 16, 17, 22, 28], [29, 30, 37, 36, 42, 32, 38, 39, 41, 33, 34, 40, 43, 45, 44, 46, 47, 48, 50, 52, 56, 55, 54, 57, 49, 53, 59, 51, 58, 60]]
16: [[7, 35, 1, 2], [3, 13, 21, 6, 5], [8, 12, 9, 26, 24, 10], [15, 4, 17, 30, 11, 27, 16, 14, 18, 19], [20, 25, 31, 23, 28, 22, 29, 32, 34, 45, 47, 37, 36, 33, 39, 40, 42, 43, 59, 41, 60, 44, 38, 57, 51, 50, 46, 52, 48, 49, 53, 55, 56, 54, 58]]
17: [[7, 35, 1, 2], [3, 13, 21, 6, 5], [4, 25, 15, 10, 24, 9, 8, 12, 14, 11, 22, 20, 16, 19, 17], [30, 26, 18, 23, 31, 28], [29, 27, 32, 56, 44], [36, 37, 33, 42, 39, 34, 45, 40, 59], [47, 49, 43, 55, 50, 58, 46, 51, 41, 38, 48, 54, 57, 52, 53], [60]]
