0: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 17, 19], [28, 23, 24, 29]]
1: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 19, 17], [28, 23, 24, 29]]
2: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 19, 10], [28, 23, 24, 29]]
3: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 19, 17], [28, 23, 24, 29]]
4: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 19, 17], [28, 23, 24, 29]]
5: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 19, 10], [28, 23, 24, 29]]
6: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 19, 10], [28, 23, 24, 29]]
7: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 19, 17, 10], [28, 23, 24, 29]]
8: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 19, 10], [28, 23, 24, 29]]
9: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 19, 17, 10], [28, 23, 24, 29]]
10: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 19, 17, 10], [28, 23, 24, 29]]
11: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 19, 10], [28, 23, 24, 29]]
12: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 19, 17, 10], [28, 23, 24, 29]]
13: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 19, 17, 10], [28, 23, 24, 29]]
14: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 19, 10], [28, 23, 24, 29]]
15: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 10, 19], [28, 23, 24, 29]]
16: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 19, 17, 10], [28, 23, 24, 29]]
17: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 17, 10, 19], [28, 23, 24, 29]]
18: [[21, 25, 27, 26], [9, 1, 2, 6, 22], [3, 4, 11, 8, 12], [5, 13, 20, 14], [7, 15], [18, 16, 10, 19, 17], [28, 23, 24, 29]]
