0: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
1: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
2: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
3: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
4: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
5: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
6: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
7: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
8: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
9: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
10: [[11, 3, 1], [2, 10, 5, 7, 8], [14, 13, 12, 6, 20, 9], [19, 17, 18, 15, 16, 4]]
11: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
12: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
13: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
14: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
15: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
16: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
17: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 4, 6, 9], [15, 16, 19, 20, 17, 18]]
18: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
19: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
20: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
21: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
22: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
23: [[11, 3, 1, 2, 10], [5, 7, 8], [14, 13, 12, 6, 9, 15], [17, 18, 19, 4, 16, 20]]
24: [[11, 3, 1, 2, 10, 5], [7, 8, 14], [13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
25: [[11, 3, 1, 2, 10, 5], [7, 8, 14], [13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
26: [[11, 3, 1, 2, 10, 5], [7, 8, 14], [13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
27: [[11, 3, 1, 2, 10, 5], [7, 8, 14], [13, 12, 6, 4, 9], [15, 16, 19, 17, 18, 20]]
28: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12, 9], [15, 16], [19, 17, 18, 20, 6, 4]]
29: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [6, 4, 9], [15, 16, 19, 17, 18, 20]]
30: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [6, 4, 9], [15, 16, 19, 17, 18, 20]]
31: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [6, 4, 9], [15, 16, 19, 17, 18, 20]]
32: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [6, 4, 9], [15, 16, 19, 17, 18, 20]]
33: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [6, 4, 9], [15, 16, 19, 17, 18, 20]]
34: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [6, 4, 9], [15, 16, 19, 17, 18, 20]]
35: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [6, 4, 9], [15, 16, 19, 17, 18, 20]]
36: [[11, 3, 1, 2, 10], [5, 7, 8, 14, 13, 12], [6, 4, 9], [15, 16, 19, 17, 18, 20]]
37: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [15, 16, 9], [19, 17, 18, 20, 6, 4]]
38: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [15, 20, 17, 4, 16, 9, 19, 6, 18]]
39: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [15, 16, 19, 17, 18, 20, 6, 4, 9]]
40: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [15, 16, 19, 17, 18, 20, 6, 4, 9]]
41: [[11, 3, 1, 2, 10, 5], [7, 8, 14, 13, 12], [15, 16, 19, 17, 18, 20, 6, 4, 9]]
