0: [[41, 15], [1, 68], [22, 23, 7], [3, 4, 2], [5, 6], [8, 11, 25], [14, 24, 13], [9, 10], [16, 28], [27, 29, 18], [19, 50], [20, 12], [17, 21, 26], [59, 30], [57, 53], [34, 39, 31], [32, 35], [60, 40], [49, 44], [37, 33], [43, 36], [42, 38, 47], [62, 58], [51, 45, 46], [48, 55, 61], [52, 54, 56], [63, 64, 72], [70, 65, 67], [66, 77], [69, 71], [76, 73], [74, 78, 75], [79, 82], [87, 81], [80, 85, 84], [83, 86, 88]]
1: [[41, 15], [1, 68], [22, 23, 7], [3, 4, 2], [5, 6], [8, 11, 25], [14, 24, 13], [9, 10], [16, 28], [27, 29, 18], [19, 50], [20, 12], [17, 21, 26], [59, 30], [57, 53], [34, 39, 31], [32, 35], [60, 40], [49, 44], [37, 33], [43, 36], [42, 38, 47], [62, 58], [51, 45, 46], [48, 55, 61], [52, 54, 56], [63, 64, 72], [70, 65, 67], [66, 77], [69, 71], [76, 73], [74, 78, 75], [79, 82], [87, 81], [80, 85, 84], [83, 86, 88]]
2: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 58, 61, 60, 56, 57, 62, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
3: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 58, 57, 60, 56, 61, 62, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
4: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 58, 57, 60, 56, 61, 62, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
5: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 58, 61, 60, 57, 56, 62, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
6: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 56, 61, 60, 57, 58, 62, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
7: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 58, 61, 60, 57, 56, 62, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
8: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 58, 61, 62, 56, 57, 60, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
9: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 58, 57, 60, 56, 61, 62, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
10: [[41, 2, 1, 68, 22, 23, 7, 3, 12, 4, 5, 6, 9, 11, 25, 15, 24, 29, 13, 14, 16, 28], [19, 10, 18, 8, 50, 20, 17, 21, 27, 30, 59, 26, 31, 53, 34, 39, 33, 32, 35, 44, 40, 51], [46, 37, 36, 43, 38, 42, 45, 47, 48, 49, 52, 54, 63, 55, 58, 61, 62, 56, 57, 60, 64, 72], [70, 65, 66, 67, 77, 71, 69, 74, 73, 75, 79, 76, 78, 82, 87, 81, 80, 83, 84, 85, 86, 88]]
