0: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 28, 24], [21, 26, 27, 29, 25]]
1: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 17, 14], [18, 20, 23, 24, 28, 10], [21, 26, 27, 29, 25]]
2: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
3: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
4: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
5: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
6: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
7: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
8: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
9: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
10: [[9, 2, 19, 1, 7, 6], [3, 4, 15, 11, 8, 12], [5, 13, 22, 16, 14, 17], [18, 20, 10, 23, 24, 28], [21, 26, 27, 29, 25]]
