0: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [26], [11, 25, 13, 23], [36, 16, 17, 18], [21, 50, 19, 20], [27, 53, 28], [49, 61, 42, 29], [30, 34, 55, 31], [33, 37], [44, 35, 46, 39, 8], [32, 58, 40], [54, 56, 45, 47], [48, 60], [51, 52, 57, 63], [59, 62, 68, 43], [66, 64, 65, 75], [70, 71, 69], [73, 72, 76, 67], [74, 77, 78], [79, 82, 81, 80], [85, 83, 87, 84], [86, 88]]
1: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [26], [11, 25, 13, 16], [57, 17, 21, 18], [28, 19, 20, 29], [51, 23, 30], [35, 59, 32, 31], [27, 34, 53, 36], [37, 33], [44, 39, 46, 40, 8], [43, 45, 42], [49, 56, 47, 58], [48, 60, 54], [50, 52, 63, 55], [62, 61, 70, 66], [64, 65, 75, 69], [67, 68, 77], [73, 76, 74], [71, 72, 79], [78, 82, 81, 80, 85, 83, 87, 84, 86, 88]]
2: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 11], [29, 17, 13], [18, 23, 16], [19, 50, 31], [30, 26, 21, 32], [49, 55, 25, 44, 63], [34, 48, 28, 47], [42, 35, 46], [33, 20, 39, 36, 37, 40, 43, 45, 54, 51, 53, 56, 58, 61, 52, 62, 57, 59, 60, 68, 64, 70, 69, 66], [65, 67], [71, 75, 72], [77, 73], [74, 76, 78, 79, 82, 85, 80, 83, 81, 86, 84, 87, 88]]
3: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 13], [11, 49, 17], [19, 16, 20], [29, 21, 28], [62, 23, 31, 18, 50, 53, 43, 35, 54, 46, 37, 32, 25, 45, 40, 39, 44, 26, 36, 42], [30, 33, 47], [52, 34, 60], [48, 51, 55, 57, 61, 56], [59, 58, 63, 72], [65, 66, 67, 69, 71, 64, 77, 68, 73, 78, 70, 74, 75, 79, 76, 82, 81], [80, 86, 83, 84, 85, 87, 88]]
4: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 25], [13, 8, 17, 28, 18, 20, 30, 29, 23, 51, 26], [60, 50, 19, 61, 49, 21, 59, 32, 27, 33, 63, 35, 40, 47, 31, 36, 34], [44, 43, 56, 53, 37, 46, 39, 42, 45, 48, 52, 54, 58, 57, 62, 55, 68, 65, 67, 64, 66, 71, 69, 77, 72, 70, 74, 75, 76, 73, 78, 79, 82, 81, 80, 85, 83, 87], [84, 86, 88]]
5: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [16, 11, 25], [13, 8, 17, 28, 18, 20, 30, 29, 23, 51, 26], [60, 50, 19, 61, 49, 21, 59, 32, 27, 33, 63, 35, 40, 47, 31, 36, 34], [44, 43, 56, 53, 37, 46, 39, 42, 45, 48, 52, 54, 58, 57, 62, 55, 68, 65, 67, 64, 66, 71, 69, 77, 72, 70, 74, 75, 76, 73, 78, 79, 82, 81, 80, 85, 83, 87], [84, 86, 88]]
6: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 11], [16, 21, 23, 17, 13, 18, 19, 20, 31, 25, 54, 26, 28, 63, 39, 60, 29, 52], [30, 33, 42, 53, 32, 45, 37, 35, 36, 40, 43, 59, 44, 34, 55, 50, 46, 49, 47, 48, 51, 56, 61, 57, 58, 62, 68, 65, 66, 64, 74, 67, 78, 70, 75, 69, 76, 73, 71, 72, 79, 77, 82, 85, 80, 81, 83, 84, 86, 87, 88]]
7: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 19], [13, 25, 17], [18, 16, 21, 20], [26, 58, 29, 47, 28], [30, 23, 27, 54], [31, 49, 32, 42], [40, 59], [61, 34, 36, 35, 62, 44, 33, 43, 37, 39, 52, 45, 63, 50, 51, 46, 48, 53, 55, 60], [56, 57, 68, 71, 64, 66], [78, 70, 69, 65, 72, 74, 79, 73, 67, 76, 77, 75, 84, 81, 80, 85, 83, 86, 82, 87, 88]]
8: [[38, 5, 7, 3], [1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 25, 17, 16], [19, 18, 21, 20, 26], [27, 13, 23, 29], [54, 50, 28], [30, 46, 60], [31, 44, 33, 32, 39], [63, 40, 45], [37, 34, 35], [42, 36, 43], [47, 48, 52, 59], [51, 49, 53, 56], [55, 57, 58], [61, 62, 72], [65, 66, 67, 64], [71, 70, 76], [68, 77, 69], [73, 75, 78, 74], [79, 82, 85, 80, 81, 83], [84, 86, 87, 88]]
9: [[38, 5, 7], [3, 1, 4], [24, 2, 12, 22], [6, 9, 10], [14, 15, 41], [8], [11, 17, 45, 31], [36, 16, 13, 20], [21, 57, 19, 18], [27, 51, 28], [61, 60, 39, 29], [25, 34, 23, 26], [33, 30, 56], [32, 42, 35, 40], [37, 53, 44, 54], [46, 50], [47, 52, 55, 58, 48, 49, 63, 59], [62, 68, 43, 66, 64, 69, 67], [70, 71, 73, 78, 65, 75, 72, 74, 77, 76, 79, 82, 85, 80, 81, 83, 84], [86, 87, 88]]
10: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 11, 25], [13, 20, 18, 27], [17, 21, 19], [16, 29, 62], [50, 51, 26], [30, 59, 23], [32, 28, 34], [44, 46, 31], [45, 36], [33, 40, 42, 37], [39, 47, 43, 60], [57, 55, 52], [54, 35, 53], [56, 58, 49], [61, 48, 63], [65, 66, 64, 67], [73, 70, 69], [79, 75, 72, 68, 71, 74], [76, 77, 78, 82, 81, 80], [83, 86, 85, 84, 87, 88]]
11: [[38, 5, 7], [3, 1, 4, 24], [2, 12, 22], [6, 9, 10], [14, 15, 41], [8, 27, 11], [28, 13, 20], [17, 19, 16, 21], [18, 23, 30], [29, 25, 26, 58, 31, 37, 35, 36, 57, 34, 53, 47, 33, 32, 42, 55, 39, 52, 43], [44, 45, 40, 56, 49, 46, 50, 62, 48, 54, 61, 51, 60, 59, 63, 68, 66, 65, 67, 71, 64, 69, 73, 75, 76, 70], [72, 78, 74, 79, 77, 82, 81, 80], [85, 83, 86, 84, 87, 88]]
