0: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
1: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 19, 14], [20, 26, 21, 25, 27, 29, 28]]
2: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
3: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
4: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 14, 19], [20, 26, 21, 25, 27, 29, 28]]
5: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 19, 14], [20, 26, 21, 25, 27, 29, 28]]
6: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
7: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 14, 19], [20, 26, 21, 25, 27, 29, 28]]
8: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 19, 14, 16], [20, 26, 21, 25, 27, 29, 28]]
9: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
10: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
11: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
12: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
13: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
14: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
15: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
16: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
17: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 14, 19], [20, 26, 21, 25, 27, 29, 28]]
18: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
19: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
20: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 19, 14], [20, 26, 21, 25, 27, 29, 28]]
21: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 19, 14, 16], [20, 26, 21, 25, 27, 29, 28]]
22: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
23: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
24: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 19, 14], [20, 26, 21, 25, 27, 29, 28]]
25: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
26: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
27: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
28: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 19, 14], [20, 26, 21, 25, 27, 29, 28]]
29: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
30: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
31: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
32: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 19, 14, 16], [20, 26, 21, 25, 27, 29, 28]]
33: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
34: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 19, 14, 16], [20, 26, 21, 25, 27, 29, 28]]
35: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
36: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
37: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
38: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
39: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 19, 14], [20, 26, 21, 25, 27, 29, 28]]
40: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 19, 14], [20, 26, 21, 25, 27, 29, 28]]
41: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
42: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
43: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 19, 14, 16], [20, 26, 21, 25, 27, 29, 28]]
44: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 19, 16, 14], [20, 26, 21, 25, 27, 29, 28]]
45: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
46: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 16, 19], [20, 26, 21, 25, 27, 29, 28]]
47: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 19, 14, 16], [20, 26, 21, 25, 27, 29, 28]]
48: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
49: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
50: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
51: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
52: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
53: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
54: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
55: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
56: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
57: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
58: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 14, 19, 16], [20, 26, 21, 25, 27, 29, 28]]
59: [[22, 1, 17, 7, 2, 23, 9], [3, 11, 6, 4, 15, 8, 13, 10, 12], [5, 18, 24, 16, 14, 19], [20, 26, 21, 25, 27, 29, 28]]
