0: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
1: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
2: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
3: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
4: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
5: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
6: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
7: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
8: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
9: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
10: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
11: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
12: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
13: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
14: [[2, 24, 7, 15, 9, 8, 13, 18, 19], [4, 1, 16, 11, 17, 3, 12, 14], [5, 20, 6, 25, 10], [26, 27, 21, 29], [23, 22, 28]]
