0: [[22, 16, 18], [1, 13], [10, 3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14, 20, 19, 17], [23, 21, 24]]
1: [[22, 16, 18], [1, 13], [10, 3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14, 20, 19, 17], [23, 21, 24]]
2: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14, 20, 19, 17], [23, 21, 24]]
3: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14, 20, 19, 17], [23, 21, 24]]
4: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
5: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
6: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
7: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
8: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
9: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
10: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
11: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
12: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
13: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
14: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
15: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
16: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
17: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
18: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
19: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
20: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
21: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
22: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
23: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15, 12, 5, 14], [20, 19, 17], [23, 21, 24]]
24: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15, 12, 5, 14], [20, 19, 17], [23, 21, 24]]
25: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15, 12, 5, 14], [20, 19, 17], [23, 21, 24]]
26: [[22, 16], [18, 1, 13], [10, 3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
27: [[22, 16, 18, 1], [13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21, 24]]
28: [[22, 16, 18], [1, 13], [10, 3, 4], [6, 2, 11], [7, 9, 8], [15, 12, 5, 14], [20, 19, 17], [23, 21, 24]]
29: [[22, 16], [18, 1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15, 12, 5, 14], [20, 19, 17], [23, 21, 24]]
30: [[22, 16, 18], [1, 13], [10, 3, 4], [6, 2, 11], [7, 9, 8], [15, 12, 5], [14, 20, 19, 17], [23, 21, 24]]
31: [[22, 16], [18, 1, 13], [10, 3, 4], [6, 2, 11], [7, 9, 8], [15, 12, 5], [14, 20, 19, 17], [23, 21, 24]]
32: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17], [23, 21], [24]]
33: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15, 12, 5, 14], [20, 19, 17], [23, 21], [24]]
34: [[22, 16, 18], [1, 13], [10, 3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17, 23, 21, 24]]
35: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14], [20, 19, 17, 23, 21, 24]]
36: [[22, 16, 18], [1, 13, 10, 3], [4, 6, 2], [11, 7, 9], [8, 15, 12], [5, 14, 20, 19, 17, 23], [21, 24]]
37: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14, 20, 19, 17, 23, 21, 24]]
38: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5], [14, 20, 19], [17, 23, 21, 24]]
39: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7], [9, 8, 15], [12, 5, 14, 20, 19, 17, 23, 21, 24]]
40: [[22, 16, 18], [1, 13, 10], [3, 4, 6], [2, 11, 7, 9, 8, 15, 12, 5, 14], [20, 19, 17, 23, 21, 24]]
41: [[22, 16, 18], [1, 13], [10, 3, 4], [6, 2, 11], [7, 9, 8], [15, 12, 5], [14, 20, 19], [17, 23, 21, 24]]
42: [[22, 16, 18], [1, 13, 10, 3, 4, 6, 2, 11, 7, 9, 8], [15, 12, 5, 14, 20, 19, 17, 23, 21, 24]]
43: [[22, 16, 18], [1, 13], [10, 3, 4], [6, 2, 11], [7, 9, 8], [15, 12, 5], [14, 20, 19], [17, 23, 21, 24]]
44: [[22, 16, 18], [1, 13, 10], [3, 4], [6, 2, 11], [7, 9, 8], [15, 12, 5], [14, 20, 19], [17, 23, 21, 24]]
45: [[22, 16, 18, 1, 13, 10], [3, 4, 6], [2, 11, 7, 9, 8, 15, 12, 5, 14, 20, 19, 17, 23, 21, 24]]
46: [[22, 16, 18, 1, 13, 10], [3, 4, 6], [2, 11, 7, 9, 8, 15, 12, 5, 14, 20, 19, 17, 23, 21, 24]]
47: [[22, 16, 18], [1, 13, 10], [3, 4, 6, 2, 11, 7, 9, 8, 15, 12, 5, 14, 20, 19, 17, 23, 21, 24]]
