0: [[7, 5, 10], [1, 2], [3, 8], [14, 4], [12, 13, 11, 9], [16, 6, 15], [19, 17, 18, 20]]
1: [[7, 5, 10], [1, 2], [3, 8], [14, 4, 6], [13, 11, 9], [12, 15, 17, 18, 16, 19, 20]]
2: [[7, 5, 10], [1, 2], [3, 8], [14, 4, 6], [13, 11, 9], [12, 15, 17, 18, 16, 19, 20]]
3: [[7, 5, 10], [1, 2], [3, 8], [14, 4], [13, 11, 12, 9, 6], [15, 16, 18, 17, 19, 20]]
4: [[7, 5, 10], [1, 2], [3, 8, 14], [13, 4, 6], [11, 12, 9], [20, 16, 19, 18, 17, 15]]
5: [[7, 5, 10], [1, 2], [3, 8, 14], [13, 4, 6], [11, 12, 9], [16, 19, 18, 17, 20, 15]]
6: [[7, 5, 10], [1, 2], [3, 8], [14, 4], [13, 11, 9, 6], [12, 18, 19, 17], [16, 20, 15]]
7: [[7, 5, 10], [1, 2], [3, 8], [14, 4, 6], [13, 11, 9], [12], [17, 18], [16, 19, 20, 15]]
8: [[7, 5, 10], [1, 2], [3, 8], [14, 4, 6], [13, 11, 9], [12], [19, 18], [17, 16, 20, 15]]
9: [[7, 5, 10], [1, 2], [3, 8], [14, 4], [13, 11, 9, 6], [12, 18, 15], [19, 17, 16, 20]]
10: [[7, 5, 10], [1, 2], [3, 8, 14], [13, 11, 9, 4, 6], [12, 16, 15], [19, 17, 18, 20]]
11: [[7, 5, 10], [1, 2], [3, 8], [14, 4], [13, 6], [11, 12, 9], [18, 19], [16, 17, 20, 15]]
12: [[7, 5, 10], [1, 2], [3, 8, 14], [4, 6], [13, 11, 9], [12, 15, 18, 16, 17, 19, 20]]
13: [[7, 5, 10], [1, 2], [3, 8, 14, 4], [13, 11, 9, 6], [12, 15, 18, 17, 16, 19, 20]]
14: [[7, 5, 10, 1], [2, 3, 8], [14, 4, 6], [13, 11, 9], [12, 15, 16, 19, 18, 17, 20]]
15: [[7, 5, 10], [1, 2], [3, 8, 14], [13, 4, 6], [11, 9], [12, 19, 18, 16, 17, 20, 15]]
16: [[7, 5, 10], [1, 2], [3, 8, 14], [13, 4, 6], [11, 12, 9], [18, 16, 17, 15], [19, 20]]
17: [[7, 5, 10], [1, 2, 3], [8, 14], [13, 4, 6], [11, 12, 9], [16, 19, 18, 17, 20, 15]]
18: [[7, 5], [10, 1, 2], [3, 8], [14, 4], [13, 6], [11, 12, 16, 9, 15], [19, 18, 17, 20]]
19: [[7, 5], [10, 1, 2], [3, 8], [14, 4, 6], [13, 11, 12, 15, 16, 19, 9], [18, 17, 20]]
20: [[7, 5, 10], [1, 2, 3], [8, 14], [13, 4], [11, 12, 9], [16, 19, 6, 15], [17, 18, 20]]
21: [[7, 5, 10], [1, 2], [3, 8], [14, 4, 6], [13, 11, 12, 15, 17, 19, 18, 16, 9], [20]]
22: [[7, 5, 10], [1, 3, 2], [8, 14, 4, 6], [13, 11], [12, 15, 16, 9], [19, 18, 17, 20]]
23: [[7, 5], [10, 1, 2], [3, 8], [14, 13, 4, 6], [11, 12, 15, 16, 19, 17, 9], [18, 20]]
24: [[7, 5], [10, 1, 2], [3, 8], [14, 13, 11, 4, 6], [12, 15, 9], [16, 18, 17, 19, 20]]
25: [[7, 5], [10, 1, 2, 3], [8, 14, 4, 6], [13, 11, 9], [12, 15, 20, 17, 16, 18, 19]]
26: [[7, 5], [10, 1, 2, 3], [8, 14, 4, 6], [13, 11, 12, 15, 9], [17, 18, 16, 19, 20]]
27: [[7, 5, 10], [1, 2, 3, 8], [14, 4, 6, 13, 11, 9, 12, 15, 16, 19, 18, 17, 20]]
28: [[7, 5, 10], [1, 2], [3, 8, 14], [13, 4, 6], [11, 12, 15, 17, 16, 19, 18, 20, 9]]
29: [[7, 5, 10], [1, 2, 3], [8, 14, 4], [13, 11, 9, 6], [12, 15], [17, 18, 16, 19, 20]]
30: [[7, 5, 10, 1], [2, 3, 8, 14, 6], [13, 11, 9, 4], [12, 15, 16, 17, 18, 19, 20]]
31: [[7, 5, 10], [1, 2, 3], [8, 14], [4, 6], [13, 11, 9], [12, 15], [16, 18, 19, 17, 20]]
32: [[7, 5], [10, 1, 2], [3, 8, 14, 13, 11, 12, 15, 9, 4, 6], [17, 19, 16, 18, 20]]
33: [[7, 5, 10], [1, 2], [3, 8, 14], [13, 11, 9, 4, 6], [12], [16, 18, 17, 15], [19, 20]]
34: [[7, 5, 10], [1, 2], [3, 8, 14], [13, 6], [11, 12, 9], [17], [19, 18, 16, 15], [20, 4]]
35: [[7, 5, 10], [1, 2, 3], [8, 14, 4], [13, 11, 9, 6], [12], [18, 19, 16, 15], [17, 20]]
36: [[7, 5, 10], [1, 3, 2], [8, 14, 4], [13, 11, 9, 12, 15, 16, 19, 17, 18, 20, 6]]
37: [[7, 5], [10, 1], [2, 3, 4, 6], [8, 14], [13, 11, 9], [12], [20, 18, 19, 16, 17, 15]]
38: [[7, 5], [10, 1], [2, 3, 9, 6], [8, 14, 4], [13], [11, 12], [20, 19], [17, 16, 18, 15]]
39: [[7, 5], [10, 1], [2, 3, 4], [8, 14], [13], [11, 12, 9], [20, 16, 6, 15], [18, 19, 17]]
40: [[7, 5, 10, 1], [2, 3, 4, 6], [8, 14], [13, 11, 12, 15, 16, 19, 18, 17, 20], [9]]
41: [[7, 5, 10, 1], [2, 3, 9, 6], [8, 14], [13], [11], [12], [16, 18, 19, 15], [17, 20, 4]]
