0: [[21, 18, 12, 3, 16], [5, 9, 6], [14, 17, 7, 11, 15], [4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
1: [[21, 18, 12, 3, 16], [5, 9, 6], [14, 17, 7, 11, 15], [4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
2: [[16, 18, 21, 3], [12, 5], [9, 14, 17, 7, 11, 15, 6], [4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
3: [[16, 18, 21, 3], [12, 5], [9, 14, 17, 7, 11, 15, 6], [4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
4: [[6, 21, 3, 16, 18], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
5: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
6: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
7: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
8: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
9: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
10: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
11: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
12: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
13: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
14: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
15: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
16: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
17: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
18: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
19: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
20: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
21: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
22: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
23: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
24: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
25: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
26: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
27: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
28: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
29: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
30: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
31: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
32: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
33: [[16, 21, 3], [18, 12], [5, 9, 14, 17, 7, 11, 6], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
34: [[16, 21, 3], [18, 12], [5, 9, 14, 17, 7, 11, 6], [15, 4, 22], [8, 19, 1, 13], [2, 10, 20], [23, 24]]
35: [[21, 18, 12, 16], [5, 9, 6], [14, 17, 7, 11, 15], [4, 22], [8, 19, 1, 13, 2], [10, 20, 3], [23, 24]]
36: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13, 2], [10, 20], [23, 24]]
37: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1, 13, 2], [10, 20], [23, 24]]
38: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22, 8], [19, 1, 13], [2, 10, 20], [23, 24]]
39: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22, 8], [19, 1, 13], [2, 10, 20], [23, 24]]
40: [[21, 18, 12, 5, 16], [9, 14, 6], [17, 7, 11, 15], [4, 22], [8, 19, 1, 13, 2], [10, 20, 3], [23, 24]]
41: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4], [22, 8, 19, 1, 13], [2, 10, 20], [23, 24]]
42: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4], [22, 8, 19, 1, 13], [2, 10, 20], [23, 24]]
43: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4], [22, 8, 19, 1, 13], [2, 10, 20], [23, 24]]
44: [[16, 18, 6, 21, 3], [12, 5], [9, 14, 17, 7, 11], [15, 4, 22], [8, 19, 1], [13, 2, 10, 20], [23, 24]]
45: [[16, 18, 21, 3], [12, 5], [9, 14, 17, 7, 11, 15, 6], [4, 22, 8], [19, 1, 13], [2, 10, 20], [23, 24]]
46: [[16, 18, 21, 3], [12, 5], [9, 14, 17, 7], [11, 15, 4, 6], [22, 8, 19, 1, 13], [2, 10, 20], [23, 24]]
47: [[6, 21, 3, 16], [18, 12], [5, 9, 14, 17, 7], [11, 15, 4], [22, 8, 19, 1, 13], [2, 10, 20], [23, 24]]
48: [[16, 18, 21, 3], [12, 5], [9, 14, 17, 7], [11, 15, 4, 6], [22, 8, 19, 1], [13, 2, 10, 20], [23, 24]]
49: [[6, 21, 3, 16], [18, 12], [5, 9, 14, 17, 7], [11, 15, 4], [22, 8, 19, 1], [13, 2, 10, 20], [23, 24]]
