0: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15], [5, 28, 11], [17], [37, 7, 23], [1, 9, 3, 18, 4], [24, 29], [20, 16, 21, 36], [25, 26], [27], [33, 30, 31, 32]]
1: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34, 19, 15], [5, 28, 11], [17, 37], [7, 23, 1], [9, 3, 18], [4, 24, 29], [20, 16], [21, 36], [25, 26, 27], [33, 30, 31, 32]]
2: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7, 23], [1, 9, 3], [18, 4, 24, 29], [20, 16, 21, 36], [25, 26], [27, 33, 30, 31, 32]]
3: [[2, 6, 22], [35, 13, 10], [12, 14], [8, 34], [19, 15], [5, 28, 11], [17], [37, 7, 23], [1, 9], [3, 18], [4, 24, 29], [20, 16, 21, 36], [25, 26, 27], [33, 30, 31, 32]]
4: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7, 23, 1], [9, 3, 18], [4, 24, 29], [20, 16], [21, 36, 25], [26], [27, 33, 30, 31, 32]]
5: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7, 23], [1, 9], [3, 18, 4], [24, 29, 20], [16, 21, 36], [25, 26, 27], [33, 30, 31, 32]]
6: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15], [5, 28, 11], [17], [37, 7, 23], [1, 9, 3], [18, 4, 24], [29, 20], [16, 21], [36, 25, 26], [27, 33], [30, 31, 32]]
7: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34, 19], [15, 5, 28], [11, 17, 37], [7, 23], [1, 9, 3], [18, 4], [24, 29], [20, 16, 21], [36], [25, 26, 27], [33], [30, 31, 32]]
8: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15], [5, 28, 11], [17, 37], [7, 23, 1, 9], [3, 18, 4, 24, 29, 20, 16, 21, 36, 25, 26], [27, 33, 30, 31, 32]]
9: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7, 23], [1, 9, 3], [18, 4], [24, 29, 20], [16, 21, 36], [25, 26, 27], [33, 30], [31, 32]]
10: [[2, 6, 22], [35, 13], [10, 12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7, 23, 1], [9, 3, 18, 4, 24, 29, 20, 16, 21, 36], [25, 26, 27, 33, 30, 31, 32]]
11: [[2, 6, 22], [35, 13, 10], [12, 14, 8, 34], [19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9], [3, 18, 4], [24, 29, 20, 16], [21, 36, 25, 26], [27, 33], [30, 31, 32]]
12: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28], [11, 17], [37, 7, 23], [1, 9, 3], [18, 4, 24], [29, 20, 16], [21, 36, 25], [26, 27, 33], [30, 31, 32]]
13: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28], [11, 17], [37, 7, 23], [1, 9, 3], [18, 4, 24], [29, 20, 16], [21, 36, 25], [26, 27, 33], [30, 31, 32]]
14: [[2, 6], [22, 35, 13], [10, 12, 14, 8], [34, 19, 15], [5, 28], [11, 17], [37, 7, 23], [1, 9, 3, 18], [4, 24, 29, 20], [16, 21, 36], [25, 26, 27, 33], [30, 31, 32]]
15: [[2, 6, 22, 35], [13, 10], [12, 14], [8, 34], [19, 15, 5], [28, 11, 17], [37, 7, 23, 1], [9, 3, 18], [4, 24], [29, 20, 16], [21, 36], [25, 26], [27, 33, 30], [31, 32]]
16: [[2, 6, 22], [35, 13], [10, 12], [14, 8, 34], [19, 15, 5], [28, 11, 17], [37, 7], [23, 1, 9], [3, 18, 4], [24, 29, 20, 16], [21, 36], [25, 26, 27], [33, 30, 31], [32]]
17: [[2, 6, 22], [35, 13, 10], [12, 14, 8], [34, 19, 15], [5, 28, 11], [17, 37, 7], [23, 1, 9, 3], [18, 4, 24], [29, 20, 16], [21, 36, 25], [26, 27, 33], [30, 31, 32]]
18: [[2, 6, 22], [35, 13], [10, 12, 14, 8], [34, 19, 15], [5, 28, 11, 17, 37, 7, 23, 1, 9, 3], [18, 4, 24, 29], [20, 16, 21, 36, 25], [26, 27, 33, 30, 31, 32]]
