0: [[25, 5], [6, 1, 3, 19, 15, 2, 12, 11, 4, 8, 16], [13, 7, 22, 9, 28, 18, 23, 10, 17, 24, 20, 14], [27, 21, 26, 29]]
1: [[25, 5], [6, 1, 3, 19, 11, 2, 4, 9, 8, 7, 24], [15, 10, 13, 12, 28, 17, 23, 18, 16, 22, 20, 14], [27, 21, 26, 29]]
2: [[25, 5], [6, 1, 3, 19, 15, 2, 4, 11, 7, 12, 8], [16, 9, 17, 13, 20, 28, 18, 29, 22, 23, 10, 14], [27, 21, 24, 26]]
3: [[25, 5, 6, 1, 3, 19, 15, 2, 12, 11, 4, 8], [16, 9, 7, 17, 13, 28, 18, 22, 10, 20, 24], [23, 14], [27, 21, 26, 29]]
4: [[25, 5, 6, 1, 3, 19, 15, 2, 12, 11, 7, 8, 4], [9, 10, 13, 28, 16, 20, 22, 17, 18, 14], [23, 24], [27, 29, 26, 21]]
5: [[25, 5], [6, 1, 3, 19, 15, 2, 4, 7, 9, 8, 10], [13, 22, 21, 11, 18, 12, 16, 29, 17, 20, 23, 14], [27, 24, 26, 28]]
6: [[25, 5], [6, 1, 3, 19, 15, 2, 12, 4, 13, 7, 11, 8, 22, 10], [9, 18, 17, 16, 21, 23, 24, 28, 14], [27, 29, 26, 20]]
7: [[25, 5], [6, 1, 3, 19, 15, 2, 4, 8, 7, 10], [11, 9, 22, 16, 17, 24, 21, 23, 12, 28, 13, 18, 14], [26, 27, 29, 20]]
8: [[25, 5], [6, 1, 3, 19, 15, 2, 4, 8, 7, 10, 9, 11], [16, 13, 22, 21, 17, 24, 12, 20, 18, 23, 14], [27, 26, 28, 29]]
9: [[25, 5], [6, 1, 3, 19, 15, 2, 7, 10, 4, 9, 11, 8, 18], [13, 20, 21, 16, 17, 12, 22, 23, 24, 14], [27, 26, 28, 29]]
10: [[25, 5], [6, 1, 3, 19, 15, 2, 12, 11, 4, 28, 8], [9, 22, 7, 13, 16, 18, 17, 20, 21, 23, 10, 14], [29, 24, 26, 27]]
11: [[25, 5], [6, 1, 3, 19, 15, 2, 7, 8, 4, 11, 24, 13], [16, 22, 9, 20, 23, 17, 10, 12, 18, 21, 14], [28, 26, 27, 29]]
12: [[25, 5], [6, 1, 3, 19, 15, 12, 4, 2, 7, 11, 9, 10, 13], [17, 16, 20, 18, 23, 21, 24, 8, 22, 14], [26, 28, 29, 27]]
13: [[25, 5], [6, 1, 3, 19, 15, 2, 12, 11, 4, 8], [24, 13, 7, 22, 9, 28, 23, 16, 29, 17, 26, 10, 14], [27, 18, 20, 21]]
14: [[25, 5], [6, 1, 3, 19, 15, 2, 12, 11, 4, 8], [24, 13, 7, 22, 9, 28, 23, 16, 29, 17, 26, 10, 14], [27, 18, 20, 21]]
15: [[25, 5], [6, 1, 3, 19, 11, 15, 2, 7, 9, 13, 22, 8], [12, 20, 16, 18, 17, 26, 4, 21, 23, 10, 14], [27, 24, 29, 28]]
16: [[25, 5], [6, 1, 3, 19, 15, 2, 13, 7, 9, 8, 10, 14], [16, 12, 11, 20, 17, 18, 21, 22, 4, 23, 28], [26, 24, 29, 27]]
17: [[25, 5], [6, 1, 3, 19, 15, 2, 13, 7, 9, 8, 10, 14], [16, 12, 11, 20, 17, 18, 21, 22, 4, 23, 28], [26, 24, 29, 27]]
18: [[25, 5], [6, 1, 3, 19, 15, 2, 13, 7, 9, 8, 10, 14], [16, 12, 11, 20, 17, 18, 21, 22, 4, 23, 28], [26, 24, 29, 27]]
19: [[25, 5], [6, 1, 3, 19, 15, 2, 7, 4, 9, 11, 12], [8, 13, 28, 10, 17, 16, 22, 18, 20, 21, 24, 14], [23, 27, 26, 29]]
20: [[25, 5], [6, 1, 3, 19, 15, 8, 4, 12, 9, 11, 7, 10, 14], [16, 17, 28, 18, 21, 2, 24, 13, 20, 22], [23, 26, 27, 29]]
21: [[25, 5], [6, 1, 3, 19, 15, 2, 12, 4, 7, 8], [9, 13, 21, 16, 11, 26, 29, 17, 18, 28, 20, 10, 14], [22, 23, 24, 27]]
22: [[25, 5], [6, 1, 3, 19, 11, 2, 4, 7, 13, 29, 8], [9, 12, 15, 20, 16, 24, 17, 18, 21, 26, 10, 14], [22, 27, 23, 28]]
23: [[25, 5], [6, 1, 3, 19, 15, 2, 13, 9, 7, 21, 11, 22, 8, 10], [12, 4, 17, 28, 16, 20, 18, 26, 23], [27, 24, 29, 14]]
24: [[25, 5], [6, 1, 3, 19, 15, 2, 4, 11, 24, 13, 7, 8, 10], [12, 9, 28, 18, 23, 17, 20, 21, 16, 14], [27, 22, 26, 29]]
25: [[25, 5, 6, 1, 3, 19, 15, 7, 4, 8, 9, 12, 10], [17, 20, 22, 16, 11, 21, 13, 23, 2, 14], [18, 24], [27, 29, 26, 28]]
26: [[25, 5], [6, 1, 3, 19, 15, 2, 4, 7, 13, 9, 8, 10], [11, 12, 17, 20, 16, 18, 24, 23, 21, 26, 14], [22, 27, 29, 28]]
27: [[25, 5], [6, 1, 3, 19, 15, 2, 4, 9, 7, 21, 8], [11, 12, 13, 20, 26, 17, 22, 28, 16, 18, 10, 14], [23, 24, 27, 29]]
28: [[25], [5, 6, 1, 3, 19, 15, 2, 12, 9, 4, 7, 8], [11, 10, 22, 13, 18, 23, 14, 17, 29, 26, 16, 20], [27, 21, 24, 28]]
29: [[25, 5], [6, 1, 3, 19, 15, 2, 4, 7, 9, 11, 8], [13, 20, 12, 16, 26, 18, 17, 21, 23, 28, 10, 14], [22, 24, 27, 29]]
30: [[25, 5, 6, 1, 3, 19, 15, 2, 4, 10], [7, 9], [11, 8, 13, 16, 17, 18, 20, 21, 22, 29, 24, 12, 14], [27, 28, 26, 23]]
31: [[25, 5, 6, 1, 3, 19, 15, 2, 11, 4, 12], [8, 7], [9, 17, 13, 29, 22, 16, 20, 21, 18, 23, 10, 14], [27, 26, 24, 28]]
32: [[25, 5, 6, 1, 3, 19, 15, 8, 2, 12, 7, 9, 4], [10, 11], [18, 13, 24, 22, 29, 14, 16, 17, 20, 21], [23, 26, 27, 28]]
33: [[25, 5, 6, 1, 3, 19, 15, 12, 7, 8, 4, 2, 10], [13, 18], [23, 9, 22, 11, 17, 20, 24, 16, 21, 14], [26, 29, 27, 28]]
34: [[25, 5, 6, 1, 3, 19, 15, 8, 7, 2, 10], [9, 11, 13, 17, 18, 20, 22, 23, 27, 4, 16, 12], [21, 14], [26, 24, 28, 29]]
35: [[25, 5, 6, 1, 3, 19, 15, 2, 4, 13, 8, 12], [9, 24, 7, 11, 18, 26, 22, 16, 17, 20, 21, 10, 14], [23, 27, 29, 28]]
36: [[25, 5, 6, 1, 3, 19, 15, 7, 11, 4, 8, 9, 2], [24, 14], [13, 16, 20, 17, 18, 12, 21, 22, 23, 10], [27, 26, 28, 29]]
37: [[25, 5, 6, 1, 3, 19, 11, 4, 12], [15, 13, 7, 8, 18, 9, 20, 16, 22, 17, 23, 2, 10, 14], [26, 24], [27, 28, 21, 29]]
38: [[25, 5, 6, 1, 3, 19, 15, 13, 4, 12, 2], [7, 10], [9, 18, 24, 8, 11, 20, 16, 17, 26, 22, 23, 14], [21, 27, 28, 29]]
39: [[25, 5, 6, 1, 3, 19, 15, 13, 4, 12, 2], [7, 10], [9, 18, 24, 8, 11, 20, 16, 17, 26, 22, 23, 14], [21, 27, 28, 29]]
40: [[25, 5, 6, 1, 3, 19, 15, 2, 4], [7, 13, 9, 8, 11, 22, 17, 28, 18, 16, 23, 21, 10, 12], [24, 14], [27, 20, 26, 29]]
41: [[25, 5, 6, 1, 3, 19, 15, 2, 4, 8, 11, 12], [16, 20, 7, 9, 28, 13, 17, 22, 18, 10, 14], [23, 21], [26, 27, 24, 29]]
42: [[25, 5, 6, 1, 3, 19, 15, 2, 4, 7, 8, 10], [9, 11], [20, 13, 17, 18, 21, 29, 23, 22, 24, 14, 12], [27, 28, 26, 16]]
43: [[25], [5, 6, 1, 3, 19, 11, 2, 12, 7, 13, 15, 8], [9, 4, 10, 14, 18, 20, 16, 17, 21, 22, 26, 23], [24, 27, 29, 28]]
44: [[25, 5, 6, 1, 3, 19, 15, 2, 11, 8, 4], [7, 12], [13, 9, 16, 28, 21, 23, 17, 18, 20, 22, 10, 14], [26, 24, 27, 29]]
45: [[25, 5, 6, 1, 3, 19, 11, 2, 4, 12, 8], [29, 26], [13, 15, 20, 28, 7, 18, 9, 17, 16, 10, 22, 27], [23, 21, 24, 14]]
46: [[25, 5, 6, 1, 3, 19, 15, 12, 13, 4, 2], [7, 11], [8, 20, 9, 16, 17, 23, 18, 21, 22, 24, 10, 14], [26, 28, 27, 29]]
47: [[25], [5, 6, 1, 3, 19, 15, 2, 4, 12, 8, 7, 10, 20], [11, 14, 22, 9, 18, 13, 17, 16, 21, 26, 23, 24], [27, 29, 28]]
