0: [[19], [2, 29, 12, 22], [6, 30, 34], [78, 81], [47, 59, 21], [50, 54], [58], [33, 1, 13], [3, 20, 18], [38, 85], [82, 70], [5, 4], [77, 60], [76, 14, 71], [7, 45, 63], [37, 68], [84], [79, 16], [11, 74, 75], [27, 56, 73], [17], [24, 28, 23], [25], [26, 9, 66, 72], [52], [64, 32], [35, 31, 40, 51, 57], [62, 42, 43], [69, 10, 39, 53], [44, 48, 8], [49, 55], [61, 87], [65], [67, 36], [46], [41, 15], [80, 83], [86, 88]]
1: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 17, 10, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
2: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 17, 18, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
3: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 24, 18, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
4: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 10, 17, 20, 18, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
5: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 24, 10, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
6: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 17, 20, 24, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
7: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 26, 16, 18, 9, 17, 20, 24, 21, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39, 8, 10, 23], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
8: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 24, 17, 20, 18, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
9: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 24, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
10: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 18, 10, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
11: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 24, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
12: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 24, 9, 10, 18, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
13: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 24, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
14: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 18, 9, 10, 24, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
15: [[41, 2, 22, 12, 36, 4, 3, 1, 5, 13, 14, 15], [6, 11, 7, 8, 26, 16, 10, 9, 18, 24, 20, 17, 21, 23, 30, 31, 53, 62, 58, 33, 59, 34, 32, 39], [19, 27, 49, 28, 60, 25, 57, 44, 29, 43, 37, 38, 35, 46, 40, 42, 47, 45, 50, 48, 51, 54, 52, 55, 56, 63, 61, 64, 68, 70], [80, 66, 67, 71, 69, 78, 72, 73, 74, 75, 77, 76, 79, 81, 65, 84, 83, 82, 85, 86, 87, 88]]
