0: [[18, 3], [2, 5, 15, 9, 13, 1, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
1: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
2: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
3: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
4: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
5: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
6: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
7: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
8: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
9: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
10: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
11: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
12: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
13: [[18, 3], [2, 5, 15, 1, 9, 13, 8, 6], [7, 11], [14, 4, 10, 12, 16, 19, 20, 17], [23, 21, 22, 24]]
