0: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 18, 19, 16, 20, 15]]
1: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 18, 17, 19, 20, 15]]
2: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 20, 18, 19, 17, 15]]
3: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 18, 16, 19, 20, 15]]
4: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 19, 18, 17, 20, 15]]
5: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 18, 16, 19, 20, 15]]
6: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 17, 18, 19, 20, 15]]
7: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 16, 18, 19, 20, 15]]
8: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 17, 16, 19, 20, 15]]
9: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 16, 17, 18, 20, 15]]
10: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 16, 19, 18, 20, 15]]
11: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 18, 19, 17, 20, 15]]
12: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 18, 16, 17, 20, 15]]
13: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 18, 16, 17, 20, 15]]
14: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 16, 17, 19, 20, 15]]
15: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 16, 19, 17, 20, 15]]
16: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 18, 16, 19, 20, 15]]
17: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 16, 18, 19, 20, 15]]
18: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 16, 17, 19, 20, 15]]
19: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 17, 16, 19, 20, 15]]
20: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 17, 19, 18, 20, 15]]
21: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 18, 16, 19, 20, 15]]
22: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 16, 17, 18, 20, 15]]
23: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 16, 19, 17, 20, 15]]
24: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 18, 16, 19, 20, 15]]
25: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 19, 17, 18, 20, 15]]
26: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 19, 17, 18, 20, 15]]
27: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 16, 19, 18, 20, 15]]
28: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 16, 17, 18, 20, 15]]
29: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 17, 16, 19, 20, 15]]
30: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 16, 17, 18, 20, 15]]
31: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [17, 16, 19, 18, 20, 15]]
32: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 17, 16, 19, 20, 15]]
33: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 17, 16, 19, 20, 15]]
34: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 18, 16, 17, 20, 15]]
35: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 16, 17, 18, 20, 15]]
36: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 18, 19, 17, 20, 15]]
37: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [18, 17, 16, 19, 20, 15]]
38: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 16, 18, 17, 20, 15]]
39: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 17, 18, 16, 20, 15]]
40: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [16, 17, 19, 18, 20, 15]]
41: [[14, 3, 1, 6, 8, 4], [2, 5, 7, 10, 9], [13, 11, 12], [19, 16, 17, 18, 20, 15]]
