0: [[4, 2, 19, 22, 1, 5, 13], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
1: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
2: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
3: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
4: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
5: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
6: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
7: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
8: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
9: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
10: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
11: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
12: [[13, 4, 2, 19, 1, 5, 22], [3, 14, 7, 11, 6, 10], [8, 15, 9, 16, 18, 20, 12, 17], [21, 23, 24]]
