0: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
1: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
2: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
3: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
4: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
5: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
6: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
7: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
8: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
9: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
10: [[35, 3, 11, 43, 30, 1, 2], [23, 8, 40, 22, 56, 18], [14, 60, 27, 38], [46, 47, 15, 7, 24, 6, 10], [50, 16, 5, 13, 17, 21], [31, 19, 20, 32, 4], [25, 9, 28, 12], [42, 58, 37, 29, 26], [41, 45, 36, 33, 34], [39, 51, 44, 53, 54, 52], [59, 48, 57, 49, 55]]
