0: [[6, 4], [3, 1], [2, 7, 5], [13, 9], [10, 8], [11, 12], [15, 14, 16], [19, 17, 18, 20]]
1: [[6, 4], [3, 1], [2, 7, 5], [13, 9], [10, 8], [11, 12], [15, 14, 16, 19, 17], [18, 20]]
2: [[6, 4], [3, 1, 2], [7, 5], [13, 9], [10, 8], [11, 12], [15, 14, 16, 19, 17, 18, 20]]
3: [[6, 4, 3], [1, 2], [7, 5], [13, 9, 10, 8], [11, 12, 15, 14, 16], [19, 17, 18, 20]]
4: [[6, 4, 3], [1, 2, 7], [5, 13, 9], [10, 8, 11, 12], [15, 14, 16], [19, 17, 18, 20]]
5: [[6, 4, 3], [1, 2, 7], [5, 13, 9], [10, 8, 11, 12], [15, 14, 16], [19, 17, 18, 20]]
6: [[6, 4], [3, 1, 2], [7, 5, 13], [9, 10, 8], [11, 12], [15, 14, 16], [19, 17, 18, 20]]
7: [[6, 4], [3, 1, 2], [7, 5], [13, 9, 10], [8, 11, 12], [15, 14, 16], [19, 17, 18, 20]]
8: [[6, 4, 3], [1, 2, 7], [5, 13, 9], [10, 8], [11, 12], [15, 14, 16, 19, 17], [18, 20]]
9: [[6, 4, 3], [1, 2, 7], [5, 13, 9], [10, 8], [11, 12, 15], [14, 16], [19, 17, 18, 20]]
10: [[6, 4, 3], [1, 2], [7, 5], [13, 9, 10], [8, 11, 12], [15, 14, 16], [19, 17], [18, 20]]
11: [[6, 4, 3, 1], [2, 7, 5], [13, 9, 10], [8, 11, 12], [15, 14], [16, 19, 17, 18, 20]]
12: [[6, 4], [3, 1], [2, 7, 5, 13], [9, 10, 8], [11, 12, 15, 14], [16, 19, 17, 18, 20]]
13: [[6, 4], [3, 1], [2, 7, 5, 13], [9, 10, 8, 11, 12], [15, 14, 16, 19, 17, 18, 20]]
14: [[6, 4], [3, 1], [2, 7, 5, 13], [9, 10, 8, 11, 12], [15, 14, 16, 19, 17, 18, 20]]
15: [[6, 4, 3, 1], [2, 7, 5, 13, 9, 10, 8, 11], [12, 15, 14, 16, 19, 17, 18, 20]]
16: [[6, 4, 3, 1, 2], [7, 5, 13, 9, 10, 8, 11, 12], [15, 14, 16, 19, 17, 18, 20]]
17: [[6, 4, 3], [1, 2], [7, 5], [13, 9, 10, 8], [11, 12, 15, 14, 16, 19], [17, 18, 20]]
18: [[6, 4], [3, 1, 2], [7, 5], [13, 9, 10], [8, 11, 12], [15, 14, 16, 19], [17, 18, 20]]
19: [[6, 4, 3], [1, 2, 7], [5, 13, 9], [10, 8, 11, 12], [15, 14, 16], [19, 17], [18, 20]]
20: [[6, 4, 3], [1, 2, 7], [5, 13, 9], [10, 8, 11, 12], [15, 14, 16, 19, 17, 18, 20]]
21: [[6, 4], [3, 1], [2, 7, 5], [13, 9], [10, 8, 11], [12, 15, 14], [16, 19], [17, 18, 20]]
22: [[6, 4, 3], [1, 2], [7, 5, 13, 9], [10, 8], [11, 12, 15], [14, 16, 19], [17, 18, 20]]
23: [[6, 4], [3, 1], [2, 7], [5, 13, 9, 10], [8, 11], [12, 15, 14], [16, 19, 17, 18, 20]]
24: [[6, 4, 3], [1, 2], [7, 5, 13, 9], [10, 8], [11, 12, 15], [14, 16, 19], [17, 18, 20]]
25: [[6, 4, 3], [1, 2], [7, 5, 13], [9, 10], [8, 11, 12], [15, 14, 16, 19], [17, 18, 20]]
26: [[6, 4, 3], [1, 2], [7, 5, 13], [9, 10], [8, 11, 12], [15, 14, 16, 19], [17, 18, 20]]
27: [[6, 4], [3, 1], [2, 7], [5, 13, 9], [10, 8], [11, 12, 15], [14, 16, 19], [17, 18, 20]]
28: [[6, 4, 3], [1, 2, 7], [5, 13, 9], [10, 8], [11, 12, 15], [14, 16, 19], [17, 18, 20]]
29: [[6, 4, 3], [1, 2, 7, 5], [13, 9, 10], [8, 11, 12, 15], [14, 16, 19, 17, 18, 20]]
30: [[6, 4], [3, 1, 2], [7, 5], [13, 9, 10, 8], [11, 12, 15, 14], [16, 19, 17], [18, 20]]
31: [[6, 4, 3], [1, 2], [7, 5, 13, 9], [10, 8, 11, 12, 15, 14, 16, 19, 17, 18, 20]]
32: [[6, 4, 3], [1, 2], [7, 5, 13, 9], [10, 8, 11, 12, 15, 14, 16, 19, 17, 18, 20]]
33: [[6, 4, 3], [1, 2], [7, 5, 13], [9, 10, 8], [11, 12, 15], [14, 16, 19], [17, 18, 20]]
34: [[6, 4, 3, 1, 2, 7, 5, 13], [9, 10, 8, 11, 12, 15], [14, 16, 19, 17, 18, 20]]
35: [[6, 4], [3, 1], [2, 7, 5, 13], [9, 10, 8, 11, 12, 15, 14, 16, 19, 17], [18, 20]]
36: [[6, 4], [3, 1], [2, 7], [5, 13], [9, 10, 8], [11, 12, 15], [14, 16, 19], [17, 18, 20]]
37: [[6, 4, 3, 1], [2, 7, 5], [13, 9, 10, 8, 11, 12, 15, 14, 16, 19, 17, 18, 20]]
38: [[6, 4, 3], [1, 2], [7, 5, 13], [9, 10], [8, 11], [12, 15], [14, 16], [19, 17, 18], [20]]
39: [[6, 4], [3, 1], [2, 7], [5, 13], [9, 10], [8, 11], [12, 15, 14], [16, 19], [17, 18, 20]]
