0: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 10], [16, 8, 12], [17, 18, 14], [23, 22], [21, 26, 27], [25], [24, 28], [29]]
1: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 8], [10, 12], [29, 17, 14, 16, 22, 21, 18, 23], [26, 25, 24, 27, 28]]
2: [[20, 3], [4, 19, 1], [2, 6, 5], [7, 15, 10, 9, 13, 8, 16, 12, 14], [24, 17, 23, 11, 22, 18], [21, 26, 27, 25, 28, 29]]
3: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11, 13, 9, 24, 10], [14, 12, 17], [8, 18, 16], [22, 21, 26, 23, 25, 27, 28], [29]]
4: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 10], [16, 8, 14], [12, 22, 17, 18], [21, 23], [24, 29, 25], [26, 28, 27]]
5: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 8], [14, 10, 12, 21, 23, 16, 18, 22, 25, 27, 24, 17, 26, 29, 28]]
6: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 10], [8, 12, 28], [14, 17, 16], [23, 22, 21], [18, 29, 25, 24, 26, 27]]
7: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [13, 9, 24, 8, 10], [12, 17, 14, 18], [26, 16], [22], [27, 23, 21, 25, 28, 29]]
8: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11, 9, 13, 10, 18], [8, 12, 14], [21, 17, 27], [22, 25, 26, 29, 23, 16, 24, 28]]
9: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7], [9, 13, 10], [24, 18, 12], [8, 16, 11, 17, 25, 23, 26, 29, 27, 21, 28], [22, 14]]
10: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7], [11, 9, 12], [10, 25, 13, 8], [14, 16, 21], [17, 26, 23], [22, 18, 28, 27, 29, 24]]
11: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7], [11, 9, 13], [10, 8, 14], [24, 12, 17], [16, 18, 22, 26], [21, 28, 27], [23, 25, 29]]
12: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 10], [8, 24, 12, 14], [16, 27, 23, 22], [17, 18], [21, 29], [26, 28, 25]]
13: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9], [13, 10], [18], [8, 12, 14, 16, 17, 21, 22, 23, 27, 26, 25, 24, 28, 29]]
14: [[20, 3, 4], [19, 1, 2], [6, 5], [15, 7, 11], [9, 13, 10], [26, 8, 12], [28, 22, 17, 14, 23, 16, 18, 21], [25, 27, 24, 29]]
15: [[20, 3, 4], [19, 1, 2, 6, 5], [15, 7, 11, 9, 13, 8, 10, 12, 14, 21, 18, 22, 24, 23, 17, 29, 27, 26, 16, 28, 25]]
16: [[20, 3], [4, 19, 1, 2], [6, 5], [15, 7], [10, 9, 13], [8, 26, 11], [12, 14, 16, 29, 21, 22, 17], [18, 24, 27, 28, 23, 25]]
17: [[20, 3, 4], [19, 1, 2], [6, 5, 15, 7, 10, 9, 28, 11, 8, 23, 24, 12, 13, 27, 16, 14, 18, 17, 22, 25, 26, 21, 29]]
18: [[20, 3], [4, 19, 1, 2], [6, 5], [15, 7], [11, 9, 12], [8, 10, 13], [14, 21, 16, 17], [18, 25, 22, 23, 24, 27, 28, 29, 26]]
