0: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 13, 9, 12, 2]]
1: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 12, 9, 13, 2]]
2: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 9, 13, 12, 2]]
3: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 13, 12, 9, 2]]
4: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 9, 13, 12, 2]]
5: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 9, 12, 13, 2]]
6: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 13, 12, 9, 2]]
7: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 9, 13, 12, 2]]
8: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 13, 12, 9, 2]]
9: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 9, 13, 12, 2]]
10: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 13, 12, 9, 2]]
11: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 13, 12, 9, 2]]
12: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 13, 9, 12, 2]]
13: [[10, 4], [1, 5, 3], [8, 11, 6], [7, 13, 9, 12, 2]]
14: [[10, 1, 4], [5, 3], [8, 11, 6], [7, 13, 9, 12, 2]]
15: [[10, 1, 4], [5, 3], [8, 11, 6], [7, 9, 13, 12, 2]]
16: [[10, 1, 4], [5, 3], [8, 11, 6], [7, 9, 13, 12, 2]]
17: [[10, 1, 4], [5, 3], [8, 11, 6], [7, 9, 12, 13, 2]]
18: [[10, 1, 4], [5, 3], [8, 11, 6], [7, 13, 12, 9, 2]]
19: [[10, 1, 4], [5, 3], [8, 11, 6], [7, 13, 9, 12, 2]]
20: [[10, 1, 4], [5, 3], [8, 11, 6], [7, 13, 9, 12, 2]]
21: [[10, 1, 4], [5, 3], [8, 11, 6], [7, 13, 9, 12, 2]]
22: [[10, 4, 1], [5, 3, 8], [11, 6], [7, 2, 13, 12, 9]]
23: [[10, 4, 1], [5, 3, 8], [11, 6], [7, 2, 13, 9, 12]]
24: [[10, 4, 1], [5, 3, 8], [11, 6], [7, 2, 9, 13, 12]]
25: [[10, 4, 1], [5, 3, 8], [11, 6], [7, 2, 9, 12, 13]]
26: [[10, 4, 1], [5, 3, 8], [11, 6], [7, 2, 13, 9, 12]]
27: [[10, 4, 1], [5, 3, 8], [11, 6], [7, 2, 9, 12, 13]]
