0: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
1: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
2: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
3: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
4: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
5: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
6: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
7: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
8: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
9: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
10: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
11: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
12: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
13: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
14: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
15: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
16: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
17: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
18: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
19: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
20: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
21: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
22: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
23: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
24: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
25: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
26: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
27: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
28: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
29: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
30: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
31: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
32: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
33: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
34: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
35: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
36: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
37: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
38: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
39: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
40: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
41: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
42: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
43: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
44: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
45: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
46: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
47: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
48: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
49: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
50: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
51: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
52: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
53: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
54: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
55: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
56: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
57: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
58: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
59: [[20, 23, 3, 22], [11, 28, 7, 10], [25, 5, 17, 1, 6], [19, 18, 2, 4], [8, 13, 9, 12], [24], [15, 16, 14], [26, 21, 27, 29]]
