0: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
1: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
2: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
3: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
4: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
5: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
6: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
7: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
8: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
9: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
10: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
11: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
12: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
13: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
14: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
15: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
16: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
17: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
18: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
19: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
20: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
21: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
22: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
23: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
24: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
25: [[6, 4, 9, 10], [3, 1, 2, 5], [7, 8, 11, 13, 12]]
